,german,italian,chineese,spanish,french
807,"can you please send me as much information as possible about hypothyroidism? I was recently diagnosed with the disease and am trying to find out what it is and how I got it. My name and address are Name, Location, Contact, thank you in advance for your help",can you send me as much information as possible about hypothyroidism? I was recently diagnosed with this disease and am struggling to understand what it is and how I got it. My name and address are name location contact thanks in advance for your help,Could you please send me as much information as you can about hypothyroidism? I was recently diagnosed with it and I am trying to figure out what it is and how I got it. My name and address are: Name Location Contact Details. Thanks in advance for your help.,"Can you please send me as much information as possible about hypothyroidism? I was recently diagnosed with the disease and am struggling to figure out what it is and how I got it. My name and address are: name, location, contact. Thank you in advance for your help.",can you please send me as much information as possible about hypothyroidism i have recently been diagnosed with the condition and am struggling to understand what it is and how i got it. my name and address are name location contact thanks in advance for your help
808,"hello, my husband has cystic fibrosis and he had a bilateral lung transplant 35 years ago. He is 53 years old. What is the life expectancy of people with cystic fibrosis after a bilateral lung transplant? Can he have another lung transplant in the future? Thank you. Name","Hi my husband has cystic fibrosis and had a double lung transplant 35 years ago, he is 53 years old, what is the life expectancy for people with cystic fibrosis after a double lung transplant? Can he have another lung transplant in the future? Thank you.","Hi, my husband has cystic fibrosis and he had a double lung transplant 35 years ago, he is 53 years old, what is the life expectancy of a cystic fibrosis patient after a double lung transplant, can he get another lung transplant in the future, thanks","Hello, my husband has cystic fibrosis and had a double lung transplant operation 35 years ago. He is 53 years old. What is the life expectancy for people with cystic fibrosis after a double lung transplant? Can he have another lung transplant in the future? Thank you.",
810,"I have a broken nose and need to get it fixed, it has been broken for three years now<PAD><PAD><PAD><PAD><PAD>","I have a broken nose and I need to fix it, it's been broken for 3 years now<PAD><PAD><PAD><PAD><PAD>",I have a broken nose that needs to be repaired and it has been broken for three years <PAD><PAD><PAD><PAD><PAD>,"I have a broken nose that needs fixing, it's been broken for 3 years now <Pad> <Pad> <Pad> <Pad> <Pad>","I have a broken nose, I need it fixed, it's been broken for 3 years now<PAD><PAD><PAD><PAD><PAD>"
812,"when do you know not to take Tecfidera I took Tecfidera for 9 days Day 1 my legs and feet felt normal for the first time in 5 years Day 2 my legs, thighs, feet, hands, arms and stomach were so swollen that I could hardly walk, move, sit or sleep I got hot flashes Day 7 blurred vision Day 4 and more",,"When do you know you shouldn't take tecfidera, I've been taking tecfidera for 9 days, day 1 my legs and feet felt normal for the first time in 5 years, day 2 my legs, thighs, feet, hands, arms and midsection swelled so badly I could barely walk, move, sit or sleep, I had red face, day 7 my vision was blurry, day 4 and onwards","When do you know you shouldn't take Tecfidera? I took Tecfidera for 9 days. On day 1, my legs and feet felt normal for the first time in 5 years. On day 2, my legs, thighs, feet, hands, arms, and abdomen swelled so much I could barely walk, move, sit, or sleep. I had flushing. On day 7, blurred vision. On day 4, and more.","when do you know you should not take tecfidera? i took tecfidera for 9 days. day 1 my legs and feet were normal for the first time in 5 years. day 2 my legs, thighs, feet, hands, arms and middle became so swollen i can barely walk, move, sit or sleep. i had hot flashes. day 7 blurred vision. day 4 and up"
813,i have two boys aged 18 diagnosed with the mecp2 gene mutation and yesterday my neurologist also mentioned the possibility of ppmx. I am very concerned that no one can help me in this area. I have seen permanent changes that do not show changes like the other features that have been reported. I really want to keep them safe and comfortable for the rest of their lives and could really use some help. Name Contact Please help me with any information. I would be more grateful than you think.,I have two boys ages and ages who have been diagnosed with the mecp2 gene mutation and yesterday my neurologist also commented on the possibility of ppmx I am very concerned that no one in this field can tell me I have seen lasting changes that have no changes like any of the other features that have been reported I am desperate to keep them safe and comfortable for the rest of their lives and I could really use help name contact please help me with any information it would be appreciated more than you know,"I have two children, 18 and 20, who have been diagnosed with a mecp2 gene mutation, and yesterday my neurologist was also commenting on the possibility of ppmx, I am very concerned and no one can help me in this area, I have seen persistent changes that are like any other features that have been reported, I desperately want them to be safe and comfortable for the rest of their lives, really need help, name contact please help me with any information, I would be grateful",I have a 12 year old boy who has been diagnosed with the mecp2 gene mutation and yesterday my neurologist was also commenting on the possibility of ppmx. I am very concerned that no one in this field can help me. I have seen long lasting changes that have no changes like any of the other features that have been reported. I am desperate to keep them safe and comfortable for the rest of their lives and could really use help. Name Contact Please help me with any information it would be appreciated more than you know.,i have a boys age and age who have been diagnosed with the mecp2 gene mutation and yesterday my neurologist also commented on the possibility of ppmx i am very concerned that no one in this field can help me i have seen harsh changes that have no changes like any of the other features that have been reported i am desperate to keep them safe and comfortable for the rest of their lives and i could really use some help name contact please help me with any information it would be appreciated more than you know
815,I take amlodipine and it has caused my break rate to be very high. Is there a weaning process when you stop taking amlodipine and start atenolol? I take 5mg of amlodipine and will be taking 50mg of atenolol.,,,I am taking amlodipine and it has caused my discontinuation rate to be very high. Is there a weaning process when you stop taking amlodipine and start taking atenolol? I am taking 5mg of amlodipine and will be taking 50mg of atenolol.,
817,I am amazed by new research and tests on macular degeneration and the possibility of being part of this process. I am 48 years old and have macular degeneration. I am blind in my right eye and very sad because my disease is getting worse in my left eye. I kindly ask for your attention.,I am wondering about new research and testing on macular degeneration and the opportunity to be part of this process I am 48 years old and I have macular degeneration I am blind in my right eye and very sad because my disease is getting worse in my left eye I kindly ask for your attention,"I am curious about the new research and testing for macular degeneration and the opportunity to be a part of this process, I am 48 years old and have macular degeneration, I am blind in my right eye and very sad because my left eye is getting worse, please take note","I am wondering about new research and tests on macular degeneration and the opportunity to be part of this process. I am 48 years old and I have macular degeneration, I am blind in my right eye and very sad because my disease is getting worse in my left eye, I cordially ask for your attention.",I am wondering about the new research and tests on macular degeneration and whether I should participate in this process. I am 48 years old and I suffer from macular degeneration. I am blind in my right eye and very sad because my disease is getting worse in my left eye. Please ask them for your attention.
818,I was treated for breast cancer and had chemotherapy and prep. I take a lot of medications but since I stopped treatment I have asthma. I take Letrozole 25 to block any estrogen in my body as my tumor was estrogen positive. What type of medications affect asthma symptoms? Please let me know.,"I have been treated for breast cancer and have done chemotherapy and re-education, I take a lot of medications but since I stopped the treatment I started having asthma. I take letrozole 25 to block estrogen in my body because my tumor was positive for estrogen. What kind of medications affect asthma symptoms? Please advise.","I have been treated for breast cancer and have had chemotherapy and medication, I have been on a lot of medications but since stopping treatment I now have asthma, I take Letrozole 25 to block the estrogen in my body as my tumor is estrogen positive, what medications would affect the asthma symptoms",I have been treated for breast cancer and have had chemotherapy and readmission. I am on many medications but since I stopped treatment I now have asthma. I am on letrozole 25 to block any estrogen in my body as my tumor was estrogen positive. What kind of medications affect asthma symptoms? Please let me know.,I have been treated for breast cancer and have undergone chemotherapy and rehabilitation. I am on many medications but since stopping treatment I now present as asthmatic. I am taking letrozole 25 to block all estrogen in my body as my tumor was estrogen positive. What type of medications impact asthma symptoms please advise
821,Pubic lice: What treatment options are there for pubic lice?<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,,,,
822,"hello, I am suffering from nodular goiter. The size of the enlarged thyroid is visible but not large. I need treatment for it. Some doctors have suggested surgery which I don't want to undergo. What other treatment options are there? Also tell me where I can go for consultation. Thank you. Name",hi i am suffering from nodular goiter the size of enlarged thyroid is visible but not big i need treatment for this some doctors suggested surgery which i dont want to do what are the other treatment options also please let me know the place where i can go for consultation thanks name,"Hello, I have a nodular goiter. The size of the swollen thyroid gland is visible, but it is not large. I need treatment. Some doctors recommend surgery, but I don’t want to do it. Are there any other treatment options? Please tell me where I can go for consultation. Thank you.",,"Hello, I am suffering from nodular goiter. The size of the enlarged thyroid gland is visible but not like a big one. I need treatment for this. Some doctors have suggested surgery which I don't want to undergo. What are the other treatment options? Also let me know where I can go for consultation. Thanks."
823,"Greetings, I am Name, I am from the place, I would like to know some medicines for the treatment of coronary artery blockage, I would be grateful if you could let me know, best regards, Name, Place, Date",greetings i am name from place i would like to know some of the drugs to treat coronary artery blockage i would be grateful if you could let me know kind regards name place date,"Hello, I am from where name, I would like to know some medicines for coronary artery blockage, if you can tell me, I will be grateful. Regards Name Place Date","Greetings, my name is the location. I would like to know some of the medications to treat coronary artery blockage. I would appreciate it if you could inform me. Kind regards, name, location, date",greetings i am place name i would like to know some of the medicines to treat coronary artery blockage i would be grateful if you could let me know best regards name place date
824,I am recovering from shingles and taking antiviral medication. This is my second week with shingles. I have no oozing sores that are currently on the right side of my face near my right eyebrow. My question is this: My husband is having surgery tomorrow. Can I go to the hospital with my husband?,"I am recovering from shingles, I am on antiviral medication, this is my second week with shingles and I have not noticed any drainage from my sores which are currently on the right side of my face, near my right eyebrow. My question is this: my husband is having surgery tomorrow, can I go to the hospital with my husband?","I am recovering from shingles, I am taking antiviral medications and this is my second week of having shingles and I am not having any discharge from my sores, it is currently on the right side of my face near my right eyebrow, my question is can I go to the hospital with my husband as he is having surgery tomorrow","I am recovering from shingles, I am on antiviral medication, this is my second week with shingles and I have not experienced any drainage from my sores, which are currently on the right side of my face near my right eyebrow. My question is: My husband is having surgery tomorrow. Can I go to the hospital with my husband?","I am recovering from shingles, I am taking antiviral medication, this is my second week with shingles, I have not felt any drainage with my sores which are currently on the right side of my face near my right eyebrow. My question is my husband is having surgery tomorrow. Can I go to the hospital with my husband?"
825,"citrobactor freundii, does Ciprofaxine work well, is there a better drug and if so, which one<PAD><PAD><PAD>","citrobactor freundii does ciprofaxine work well? Is there a better drug? If so, what<PAD><PAD><PAD>",,"Citrobactor freundii Does ciprofaxine work well? Is there a better drug? If so, which one?<PAD><PAD><PAD>","citrobactor freundii does ciprofaxine work well? is there a better drug? if so, which one?<PAD><PAD><PAD>"
826,"Hello doctor, my name is M and I am from my locality. I am not getting pregnant for almost 2 years. I have done some tests on my husband, sperm count is zero and I have done molecular biology karyotype test and it is Klinefelter syndrome. Is there any chance of getting pregnant? Is there any treatment for this? Please help me. If you need more details I would send you reports sir. Please help me.",hello doctor my name is name m i come from where i was born and i have been living for almost 2 years i will not get pregnant i have done some tests on my husband the sperm count is zero and i have done a molecular biology karyotype test and it is a klinefelter syndrome is there any chance of getting pregnant is there a cure for this please help me if you need more details i will send you some reports sir please help me,"Hi doctor, my name is m, I am from a place, it has been almost two years, I have not gotten pregnant, I did some tests for my husband, the sperm count is zero, I did a molecular biology karyotyping test, and it was found to be Klinefelter syndrome, is there any possibility of pregnancy, is there any treatment, please help me, if you need more details, I will send you the report, sir, please help me",Hi doctor my name is name m from location its been almost 2 years and i am not getting pregnant i have done some tests on my husband sperm count is zero and i have done molecular biology karyotype test on him and its klinefelter syndrome is there any chance of getting pregnant is there any treatment for this please help me if you need more details i will send you reports sir please help me,"Hello doctor, my name is name m location it's been almost 2 years that I don't get pregnant, I did some tests on my husband, sperm count is zero and I did molecular biology karyotyping test and it's Klinefelter syndrome. Is there any chance of getting pregnant? Is there any treatment for this? Please help me. If you need more details I will send you reports sir please help me."
830,I'm looking for books about hypotension and low blood pressure. Can you recommend any that I could buy?,"I'm looking for books on hypotension and low blood pressure, can you suggest me some that I could purchase?",,I am looking for books on hypotension and low blood pressure. Can you suggest any that I can buy?,"I am looking for books on low blood pressure, can you suggest some that I could buy"
833,"I need to know if CDH can be passed on to future generations. I just learned that this condition most likely caused the death of my first child in 1971. At the time, I was told that it was just an accident. I had no trauma during the pregnancy and my then-husband and I were in very good health. Now my son by another husband and his wife are due to have fraternal twins in 2015. Does the term ""congenital"" mean it could be passed on to another generation? I don't want to worry my son and his wife. I just want to inform the pediatrician who cares for these babies.",i need to know if cdh can be passed on to future generations i just learned that this condition probably caused the death of my first child in 1971 i was later told it was just a fluke i had no trauma during the full term pregnancy and my then husband and i were in excellent health now my son by another husband and his wife are due to have fraternal twins in 2015 the term congenital means it could be passed on to another generation i dont want to alarm my son and his wife i would just like to inform any paediatrician who is caring for these children as,,"I need to know if CDH can be passed on to future generations. I just found out that this condition probably caused the death of my first child in 1971. I was then told that it was simply a fluke. I had no trauma during the full term pregnancy and my then husband and I were in very good health. Now my son by another husband and his wife is due to have fraternal twins in 2015. Does the term congenital mean it could be passed on to another generation? I don't want to alarm my son and his wife, I would just like to inform any pediatricians who are caring for these babies.",I need to know if CDH can be passed on to future generations. I just learned that this condition most likely caused the death of my first child in 1971. I was told at the time that it was just a fluke. I had no trauma during the full term pregnancy and my husband and I were very healthy. Now my son from another husband and his wife are due to have fraternal twins in 2015. Does the term congenital mean that it could be passed on to another generation? I don't want to alarm my son and his wife. I just want to inform the pediatrician who is taking care of these babies.
835,"Dear clinical trials, I am looking for a treatment for a disease called Baker which is related to the neurological department. I have not received any treatment for this disease so far. I need to receive treatment through medical research if possible. Note that I will be in New York on May 11th.",,,"Dear Clinical Trials, I am looking for a treatment for a disease called Baker's disease which is related to the neurology department. I have not received any treatment for this disease before. I need to get treatment through medical research if possible. Please note that I will be in New York on May 11th.","Dear Clinical Trials, I am looking for treatment for a disease called Baker which is related to the neurology department. I have not received any treatment before for this disease. I need to get treatment from medical researchers if possible. Note that I will be in New York on May 11th."
837,how do I get rid of these little devils? My mom and I have tried so many things to get rid of these bugs and they just won't go away. We were the family that showered 2 times a day and now showered about 3 times a day. We never understood how they could have infected us but I was just wondering if washing our clothes is the best method to get rid of these things because it didn't seem to work for us. So any suggestions?,how do i get rid of these little devils? my mom and i have tried so many things to get rid of these bugs and they just wont go away. we were the family that took 2 showers and now about 3 showers a day and we never figured out how they got us but i was wondering if washing our clothes is the best solution to get rid of these things because apparently it hasnt worked for us so do you have any suggestions?,How do I get rid of these little devils? My mom and I have tried so many things to get rid of these bugs but they just won’t go away. Our family used to shower twice a day and now we shower three times a day. We have never understood how they could infect us but I was just wondering if washing clothes is the best way to get rid of these things because apparently that method hasn’t worked for us so any suggestions?,How do I get rid of these little demons? My mom and I have tried so many things to get rid of these bugs and they just won't go away. We were a 2 shower family and now we shower 3 times a day. We never understood how they could have infected us but I was wondering if washing our clothes is the best option to get rid of these things because it apparently hasn't worked for us. Are there any suggestions?,how do i get rid of these little devils? My mom and I have tried so many things to get rid of these bugs and they just won't go away. We used to be the family that took 2 showers and now about 3 showers a day. We never figured out how they got us infected but I was just wondering if washing our clothes was the best way to get rid of these things since apparently it didn't work for us. Any suggestions?
838,many of us are afraid of an asymptomatic internal perforation in the digestive tract that causes vague discomfort or even degenerative conditions but does not make itself felt acutely can this even happen and if so how can a patient determine it there are stories of people swallowing needles and not even knowing it one answer I have heard is that foreign bodies embedded in tissues can become encased in a kind of hard flesh and somehow be excreted from the body can this really happen is there anything I could read about it what about the people who,"Many of us are afraid of having an asymptomatic internal perforation in the digestive tract, which leads to vague complaints or even degenerative conditions but does not announce itself acutely. Can it ever happen and if it does, how can a patient know? There are stories of people swallowing needles without even knowing it. One answer I have heard is that foreign objects lodged in the tissues become encased in a kind of hard flesh and are somehow eliminated from the body. Could this really happen? Is there anything I could read about it? And the people who...","Many of us fear an asymptomatic perforation in the digestive tract that causes vague discomfort or even degenerative disease but doesn't manifest in any acute way. Does this happen? If it does happen, how does the patient find out? There are stories of people swallowing needles and they don't even know it. One answer I've heard is that a foreign body embedded in the tissue gets encased in some kind of tough flesh and somehow passes out of the body. Does this really happen? Can I read about it? What about people who get infected?","Many of us are afraid of suffering from an asymptomatic intestinal perforation in the digestive tract that leads to vague complaints or even degenerative conditions but does not announce itself acutely. Can this ever happen? And if it does happen, how can a patient detect it? There are stories of people swallowing needles and not even knowing it. One answer I have heard is that foreign objects embedded in the tissue become encased in some kind of hard flesh and are somehow removed from the body. Could this really happen? Is there anything I can read about it? What about people who swallow needles?","Many of us are afraid of having an asymptomatic internal perforation in the digestive tract, a perforation that leads to vague complaints or even degenerative conditions but does not present itself acutely. Can this happen and if it does, how can a patient detect it? There are stories of people swallowing needles and not even knowing it. One answer I have heard is that foreign objects embedded in tissues become encased in some kind of hard flesh and are somehow eliminated from the body. Could this really happen? Is there anything I could read about this? What about people who"
839,I found 4 cases of expired hydrogen peroxide 042010. How do I dispose of this product safely? Location Location Location Location Contact Name,,I found 4 boxes of expired 042010 Hydrogen Peroxide. How do I safely dispose of this product? Location Location Location Location Contact Name,"I found 4 boxes of expired 042010 hydrogen peroxide How can I safely dispose of this product? Location, location, location Contact name",
841,my brother is suffering from purpura since 2003. Please give us the right medicine and if you know a good doctor please let us know. Thanks.,my brother has purpura since 2003 please guide us with the correct medicine and if you know a good doctor please let us know thank you,"My brother has been suffering from purpura since 2003, please guide us on the right medication, if you know any good doctor please let us know, thanks","My brother has been suffering from purpura since 2003. Please guide us with the right medicine and if you know any good doctor, please let us know. Thank you.",my brother is suffering from purpura since 2003 please guide us with the right medicine and if you know any good doctor please let us know thanks
842,"hi my name is Name and I hope you can help me. When I was born my doctor diagnosed me with albinism. My hair is brown and my eyes are hazel, they don't quiver. My skin is fair but my markings are visible. They are not bright white all over but seem to have 3 different levels. Most of my body is covered in level 1 pigmentation which is the lightest. I also have level 2 in some places and a small spot on my arm is level 3. It basically looks like a giant birthmark that runs from the right side of my body to the left. When I was born doctors didn't know much about albinism.",hi my name is name and i hope you can help me when i was born my doctor diagnosed me with albinism i have brown hair color and hazel eyes it doesnt move my skin is light but my marks are visible its not one uniform light white all over my body apparently i have 3 different levels most of my body is covered in level 1 pigmentation the lightest i also have level 2 on some and a little spot on my arm level 3 it basically looks like a huge mole that goes from the right side of my body to the left side when i was born the doctors didnt know much about albinism yet,"Hi my name is name and i was hoping you could help me, when i was born the doctors diagnosed me with albinism, my hair is brown and my eyes are hazel they don't wobble, my skin is fair but my markings are very noticeable, the whiteness all over my body is not a single color, i seem to have 3 different levels, most of my body is covered in level 1 pigment, the fairest, i also have level 2 on my body, a small patch on my arm is level 3, it basically looks like a giant birthmark that stretches from the right side of my body to the left side, when i was born the doctors didn't know much about albinism","Hi my name is name and I hope you can help me. When I was born my doctor diagnosed me with albinism. My hair is brown and my eyes are hazel, they don't twitch. My skin is light but my marks are visible, it's not a solid clear white all over my body. Apparently I have 3 different levels. Most of my body is covered in level 1 pigmentation. The lightest one also has level 2 on some and a small spot on my arm that is level 3. It basically looks like a huge birthmark that runs from the right side of my body to the left. When I was born doctors didn't know much about albinism yet.",
843,"We need treatment for balance disorder. My father loses balance while walking or climbing stairs. Please, please, please help us to cure the disorder.","we need treatment for balance disorder, my father loses his balance while walking or climbing stairs, so please help us to treat this disorder","We need to cure balance disorder, my father loses balance when he walks or climbs stairs, so please help us cure this disorder",We need treatment for balance disorder. My father loses balance when walking or climbing stairs. Please help us cure the disorder.,"we need treatment for balance disorder, my father loses his balance while walking or climbing stairs, so please help us to cure this disorder."
845,hello my name is name my brother has MS i am looking for something that can help him i love my brother and it is so disturbing to see him slowing down can you please tell me if there is anything that can help thank you very much,,,"Hi, my name is Name. My brother has MS. I am looking for something that can help him. I love my brother and it is very upsetting to see him slow down. Can you tell me if there is anything that can help? Thank you so much.",Hi my name is Name my brother has multiple sclerosis I am looking for something that can help him I love my brother and it is so upsetting to see him slow down can you please let me know if there is anything that can help thank you so much.
846,thank you for your information on my previous question about what causes the itching of the skin. I have another question about another problem that I have. This problem is that I constantly get excessive tears from my eyes and I mostly close my nose at night and stop using my nose after a few hours in bed. Is there any medicine that will reduce all these excessive tears?,,,Thank you for your information regarding my previous question about what is causing my itchy skin. I have another question regarding another problem I have. This problem is excessive tears in my eyes which occur all the time and fill my nose mostly at night and I stop using my nose while in bed after a couple of hours. Is there any medicine that can reduce all these excessive tears?,"Thank you for your information on my previous question regarding what causes itchy skin. I have another question regarding another problem I have, this problem is excessive tears from my eyes that occur all the time and fill my nose especially at night and I stop using my nose while I am in bed after a few hours. Is there a medication that would reduce all these excessive tears?"
848,I have clawed hand and would like you to email me information about treatment options for it. My address is the location. Thank you.,I have a claw hand and would like you to send me information about treatments for this problem. My address is the location. Thank you.,I have a claw hand and I would like you to email me with the treatment and my address is the location thanks,"I have a claw hand and I would like information about treatments for it. My address is location, thank you.",
849,my daughter has distal renal tubular acidosis we are from Mexico and we are wondering if you can send us more information maybe you can recommend us a club I don't know,"my daughter has distal renal tubular acidosis, we are from Mexico and we are wondering if you can send us more information, maybe you can recommend an association that I don't know.","My daughter has distal renal tubular acidosis, we are from Mexico and we would like to know if you can send us more information and maybe you can recommend us an association that I don't know about","My daughter has distal renal tubular acidosis. We are from Mexico and we would like to know if you can send us more information. Perhaps you can recommend an association, which I don't know of.","my daughter has distal renal tubular acidosis, we are from Mexico and we are injured if you can send us more information, maybe you can recommend us an association, I don't know"
851,"In vitro fertilization Hello, I am interested in in vitro fertilization in a test tube. Can I find out the risks and costs? Thank you.",in vitro fertilization hello I am interested in having a baby in a test tube with in vitro fertilization could I know the risks and costs thanks,,"in vitro fertilization Hi, I am interested in having a test tube baby through in vitro fertilization. Can I know the risks and the cost? Thank you.",
852,What is homeostasis? Why is homeostasis important? What technology do doctors use to treat hypothermia? How effective is this technology? How is this technology effective for the economy and the environment?,what is homeostasis why is homeostasis so important what technology do doctors use to treat hypothermia what is the effectiveness of the technology how is this technology effective for the economy and the environment,What is homeostasis? Why is homeostasis so important? What technology do doctors use to treat hypothermia? What is the effectiveness of this technology? What are the economic and environmental impacts of this technology?,What is homeostasis? Why is homeostasis so important? What technology do doctors use to cure hypothermia? How effective is the technology? How effective is that technology for the economy and the environment?,what is homeostasis why is homeostasis so important what technology do doctors use to treat hypothermia how effective is the technology how effective is this technology for the economy and the environment
854,Seen a cure for colon cancer on TV. My father has colon cancer and said he saw a commercial on TV about a cure for colon cancer. He can't remember any details. I was wondering if you know anything about such a thing. Please let me know. Thanks. Name,colon cancer cure seen on tv my dad has colon cancer and he said he saw an ad on tv about a cure for colon cancer he can't remember any details i was wondering if you know anything about something like this please let me know thanks name,Colon cancer cure seen on tv my father has colon cancer and he said he saw an ad on tv for a colon cancer cure he can't remember any details i was wondering if you know of anything similar please let me know thanks,,colon cancer cure seen on tv my dad has colon cancer and said he saw an ad on tv about a colon cancer cure he doesn't remember any details about it i was wondering if you knew anything about it please let me know thanks name
855,"what will happen to me if my doctors just stop my oxycodone 5 mg 2 every 4 hours and I have been taking it for three and a half weeks, and how can I get them to slowly wean me off of it?",what would happen to me if my doctors stopped me from taking oxycodone 5mg every 4 hours and i have been taking it for three and a half weeks and how do i gradually taper off?,What will happen to me if my doctor stops giving me 5mg of oxycodone 2 times every 4 hours and I have been taking it for 3 and a half weeks? How can I get them to slowly wean me off it?,What will happen to me if my doctors just stop me from taking oxycodone 5mg 2 times every 4 hours and I have been taking it for three and a half weeks? How do I get them to gradually wean me off of it?,what will happen to me if my doctors just stop my oxycodone 5mg 2 times every 4 hours and i have been taking it for 3 and a half weeks and how can i ask them to wean me off it slowly?
856,My sister has htlv1 we are looking for information or processing that can help me she is from Colombia and she has this virus of htlv1 but in Colombia it is not a virus that you have met and that is a problem that you can solve with your health problem adults,,,,my sister has htlv1 we are looking for information or treatment can help mi hermana es de colombia ella tiene este virus de htlv1 pero en colombia no saben como tratar este virus ya que es muy raro and ella esta buscando un lugar donde puedan ayudar con su problema de salud ella esta dispuesta someterse a testa con las clulas madre adultsas
859,I have very bad breath and sometimes it can make me and others sick. I need advice on what to do,I have very bad breath and sometimes it can make myself and others sick I need some advice on what to do,I have bad breath which sometimes makes me and others uncomfortable. I need some advice on what I can do.,I have very bad breath and sometimes it can make me and others sick. I need some advice on what I should do.,I have very bad breath and sometimes it can make me and others sick. I need advice on what to do
861,"I just sent a message saying I'm working at the airport with shingles. My doctor cleared me to return to work in 3 days, so that's only 11 days to recover. I still have irregular fevers and blisters and want to make sure I don't expose anyone to them. Please respond before 31314.","i just sent a message about working at the airport with shingles, my doctor released me to return to work in 3 days, it will only take 11 days to recover, i still have fever and occasional blisters, i want to make sure i don't expose anyone to this, please reply before 31314","I just sent a message that I have shingles and work at an airport and the doctor told me to go back to work in 3 days and it only takes 11 days to recover, I still have fevers and blisters from time to time and want to make sure I don’t expose anyone to these please reply by 31314",I just sent a message about working at the airport with shingles. My doctor cleared me to go back to work in 3 days. It will only take me 11 days to recover. I still have a fever and random blisters. I want to make sure I don't expose anyone to this. Please reply by 31314.,"I just sent a message about working at the airport with shingles. My doctor cleared me to return to work in 3 days, which will only take me 11 days to recover. I still have a fever and random blisters. I want to make sure I don't expose anyone to this. Please reply before 31314."
862,Can I take Sam E with my blood pressure medication and simvastatin? My blood pressure medication is metoprolol. I am 65 and have panic attacks. I am not taking any other medications. I have a physical exam and blood test this week. Will Sam E interfere with a blood test? I also have spinal stenosis with numbness and a tingling feeling in my body. I will talk to my doctor about all of this on Friday. Dosage. Thanks.,,,"Can I take sam e with my blood pressure medication and simvastatin? The blood pressure medication is metoprolol. I am 65 and have panic attacks. I am not on any other medications. I have a physical this week and blood work. Will sam e interfere with a blood test? I also have spinal stenosis with numbness and tingling sensations in my body. I am going to talk to my doctor about all of this on Friday. Dosage, thanks.","can i take the same medicine with my blood pressure medicine and simvastatin? The blood pressure medicine is metoprolol. I am 65 and have panic attacks. I am not taking any other medicines. I have a physical this week and will a blood test interfere with a blood test? I also have spinal stenosis with numbness and tingling sensations in my body. I will talk to my doctor about all this on friday. Dosage, thanks"
863,What causes high blood pressure and diabetes<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,,,What causes high blood pressure and diabetes?<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,what are the causes of hypertension and diabetes<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>
864,I have had type 1 diabetes since I was nine months old. I am now 34 and would love to speak to anyone who is interested in studies on the reversal vaccine I have read articles about. I currently live in a location where I was not sure if an endocrinologist nearby was doing similar studies or would be interested in working with a patient who has had type 1 diabetes for as long as I have. I am very active in my community with JDRF and would love nothing more than to be cured of this terrible disease. Please contact me via email or my cell number. I appreciate any information that can be provided. Thank you.,,"I am a type 1 diabetic and have been since I was 9 months old, I am now 34, I would love to talk to anyone who is interested in a reversal vaccine trial, I have read about where I currently live and I am not sure if the local endocrinologist is running similar trials or would be interested in working with a patient like me who has type 1 diabetes, I am very active in the community and work with jdrf, all I want more than anything is a cure for this horrible disease, please contact me by email or my cell phone, I welcome any information that can be provided, thank you n",I am a type 1 diabetic and have been since I was nine months old. I am now 34 years old and would love to speak with anyone interested in trials on the reversal vaccine that I have read articles about. I currently live in the location. I was not sure if any local endocrinologist doctors are doing similar trials or would be interested in working with a patient who has had T1D for as long as I have. I am very active in my community with JDRF and would love nothing more than to be cured of this terrible disease. Please reach out to me via email or my cell contact. I appreciate any information that can be provided. Thank you.,I have been a type 1 diabetic since I was nine months old. I am now 34 and would like to speak to anyone interested in the reversal vaccine trials that I have read about. I currently live in an area where I was unaware if any local endocrine doctors were doing similar trials or would be interested in working with a patient who has had type 1 diabetes as long as I have. I am very active in my community with JDRF and would love nothing more than to be cured of this terrible disease. Please contact me via email or my cell contact. I appreciate any information that can be provided. Thank you n
865,"Good day Doctor, my name is Name from Nigeria in West Africa. I would be very grateful if you could contact me urgently with any advice that might be of use in achieving a complete cure for the diabetes I have been suffering from since 2008. If contacted, I look forward to your early reply. Thank you for your prospective company name.",good morning doctor my name is i am from Nigeria in West Africa please appreciate it very much if you contact me urgently with any advice that can be valuable for a total cure of diabetes i am suffering from since the year 2008. i will eagerly await your reply as soon as possible thank you for your advance company name,"Hello doctor my name is a west african nigerian, i would be grateful if you could contact me urgently with any advice that would help completely cure the diabetes i have been suffering from since 2008, i will eagerly await your response, thank you your expected company name","Good day doctor, my name is name, i am from nigeria in west africa, please i would be very grateful if you could contact me urgently with any advice that could be valuable for a total cure of diabetes which i have since 2008. i will be eagerly waiting for your reply as soon as possible please thank you for your advance corporation name","Hello Doctor, my name is from Nigeria West Africa. I would greatly appreciate if you could contact me urgently with any advice that could be helpful for a total cure of diabetes that I have been suffering from since 2008. On contact, I will eagerly await your response as soon as possible, thanks for your anticipated company name."
