,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
757,i was diagnosed with mg early stagewhen my right eyel,I was diagnosed with early stage MG in 2011 when my right,"In 2011 I was diagnosed with early MG, when my right",In 2011 I was diagnosed with early stage MG when my right,nan,I was diagnosed with early stage mg in 2011 when my right
758,i am newly marrired now from few days i am,,nan,nan,nan,nan
759,Vomit bile because reason vomit bile. b,"Vomit bile is vomit bile, because",nan,nan,Vomiting bile because reason vomiting bile. b,Bile because the reason I vomit bile. Bile
760,i was told by my family doctor that i have total al,My GP told me I have total alopecia.,My family doctor told me i have alopecia total,My family doctor told me I had total alopecia,My GP has told me that I have alopecia,My family doctor told me that I have alopecia
761,Mother has inherited ricketts passing a child but not b,Mother inherited Ricketts and passed it on to a child but,nan,Mother inherited Rickettsial disease by passing it to a child,nan,nan
762,i would appreciate it if you could tell me ways to improve,I would be grateful if you could tell me ways to improve,i am a student doing a research project on blind technology.,I would also appreciate if you could tell me ways to improve,I would be grateful if you could tell me about ways to,I would also appreciate if you could tell me ways to improve
763,What are the causes of rib cage pain and and the remedy,,nan,nan,nan,nan
764,i want to find out is it got any side effect if,I want to find out if there are any side effects if,I want to know if it has any side effects if I,I would like to know if it has any side effects if,I would like to know if there will be any side effects,I want to find out if there is any side effect if
765,There are several medical case studies about loin pain hematur,I've been told that there are several medical case studies on,i have been told that there are several medical case studies on,i have been told that there are several medical case studies on,I have heard that there are several medical case studies on l,There are several medical case studies on Loin Hematuria
766,What foods do i eat and if i drink lots of water,"""What foods do I eat and if I drink a lot",What foods do i eat and if i drink a lot of,What foods should i eat and if i drink a lot of,What foods should I eat? Will drinking lots of water help,What foods do I eat and if I drink a lot of
767,Great grandma wants to know more abouterson tawil syndrome,Anderson-Tawil Syndrome runs through our name line.,Anderson Tawil syndrome runs through our name line. This,Anderson Tawil syndrome runs through our name line what does,Anderson-Tawil Syndrome runs through our last name.,Anderson Tawil Syndrome is passed down our name line.
768,i would like more info about familial mediterean fever,,nan,nan,nan,nan
769,For as long as i can remember i would get pain in,As long as I can remember I have had pain in my,nan,For as long as I can remember I have had occasional pain,"""I have had pain in one side of my hip and",For as long as I can remember I have had pain in
770,My son is affected with an autosomal recessive genetic condition,My son has an autosomal recessive genetic condition called Senior,My son has an autosomal recessive genetic condition loken,My son is suffering from an autosomal genetic disease recessive,Carriers have a 25% chance of having a child with,My son is affected by an autosomal recessive genetic condition
771,i have a really serious problem about me and the stress i,I have a really serious problem with myself and the stress I,"""I have a very serious problem with me and the stress",i have a very serious problem about myself and the stress i,"""I have been suffering from stress for a long time and",I have a really serious problem about myself and stress I have
772,i am presently taking 200mg allopurinol daily,I am currently taking 200 mg of allopurinol,I am currently taking 200mg of allopurinol,I am currently taking 200mg of allopurinol,I am currently taking 200 mg of allopurinol,I am currently taking 200 mg of allopurinol
773,i would like to learn more about my condition please send me,I would like to know more about my condition. Please send,"I would like to know more about my condition, please send",nan,nan,I would like to learn more about my condition. Please send
774,i am searching for sensorial hearing loss cure my daughter is,I am looking for a cure for sensorineural hearing loss,nan,I am looking for a cure for sensory hearing loss. My,nan,I am looking for a cure for sensory hearing loss. My
775,i have a rare case of femoral neuropathy that my,,nan,nan,nan,nan
776,Mouth ulcer problem is the worst problem in my lifetime,"""I want you to advise me about the permanent removal of",Mouth ulcer problem is worst problem in my life even,nan,Afghan student says he gets mouth ulcers three or four,"Mouth ulcers is the worst problem in my life,"
777,My uncle died yesterday from this disorder since this is such a,My uncle died yesterday from this disease. I would like to, cardiac amyloidosis literature please let me know where I,nan,My uncle died yesterday from this disease. Since it is a,nan
778,How to cure parkinson disease. How to treat parkinson,How to cure Parkinson's. how to cure the disease.,nan,nan,nan,nan
779,What is the pattern of recovery after stroke. what is the,,nan,nan,nan,nan
780,My friends wife age 45 name name location suffering with this dise,,nan,nan,nan,nan
781,Can a person with angelman syndrome have children if so can,Can a person with Angelman Syndrome have children? If so,Can a person with Angelman syndrome have children? If so,nan,"Can people with Angelman Syndrome have children? If so,",nan
782,In reviewing some meds that treat gerd i dont see,"Prilosec, Nexium, Tagamet and",Prilosecnexiumtagamet and zant,Prilosec and nexium are said to be,nan,"Prilosec, Nexium, and Tagamet"
783, can gerd be cured i am suffering from this disease for,I have been suffering from this disease for almost three years.,I have been suffering from this disease for almost three years.,I have been suffering from this disease for almost three years now,nan,I have been suffering from this disease for almost three years.
784,Do you have an article discussing whether asthma can be cured?,Question: What is the consensus among doctors on whether asthma can,Ask what is the consensus among doctors on whether asthma can be,nan,Question: What is the consensus among doctors on whether asthma can,Question: What is the consensus among doctors on whether asthma can
785, like to know more about degenerative bone disk disease. have,,nan,nan,nan,nan
786,i have something crawling under my skin at night and in the,At night something crawls under my skin and in the morning,nan,nan,Something is crawling under my skin at night and I need treatment,nan
787,i am concerned that phenobabiral could be toxic to,I would like to know if there is another medication that can,nan,I am concerned that phenobarbital may be toxic to,nan,I am concerned that phenobarbital may be toxic to
788,i have hereditary cerebellar ataxiacan i find,,nan,nan,nan,nan
789,My tracheomalacia is so wide spread with 90 block,My tracheomalacia is so extensive with 90% block,nan,My tracheomalacia is so widespread with 90° block,nan,My tracheomalacia is so widespread with a 90%
790,What are the chemicals or meds in lidocaine?,What chemicals or drugs are contained in lidocaine?,What are the chemicals or drugs in lidocaine?,What chemicals or drugs are in lidocaine?,nan,nan
791,i have read the medline abstracts 9899 of limb,Can you please tell me how I can contact a specialist to,I have read the medline 9899 abstracts on limb,nan,I have read the medline abstract 9899 on limb-,I have read the Medline abstracts 9899 on limb-
792,i just picked up a prescription for glyburide 25 mg,,nan,nan,nan,nan
793,i am 23yr boyi have knock knees i want treatment,I am a 23-year-old boy and I have,23-year-old has knock knees and wants a cure,I am 23 years old and I have knock knees. I,nan,"I am a 23 year old boy, I have knock knees"
794,Doctors ask mother to exercise raise your legs above your heart while,"My mother is 57 years old, his leg is swollen since",Doctors asked my mother to do exercise by raising her legs above,My mother is 57 years old her leg is swelling since 6,My mom is 57 years old and her legs have been swollen,My mother is 57 years old and her legs are swollen since
795,i am a 75 year old man i have 2 ingu,,nan,nan,nan,nan
796,i am facing low platelet count in my blood pti,"I would like to ask, Name MD, Professor of Medicine",Hi i have low platelet count in my blood pti,I am facing low platelet count in my blood pti,"Hi, I have a low platelet count in my blood",I have been on ITP for 4 months now and my
797,i was diagnosed with anti kidd jk5 in 2009,I was diagnosed with anti-Kidd JK5 in,"I was diagnosed with anti Kidd JK5 in 2009,",I was diagnosed with anti-kidd jk5 in,I was diagnosed with anti-Kidd JK5 in,I was diagnosed with anti-Kidd JK5 in
798,i am from location my cousin elder father suffering from sciatic,The elderly father has been suffering from sciatic nerve pain for,"""I come from a place where my cousin, the elderly",My elder cousin is suffering from sciatic nerve pain for a,nan,The elderly father who is suffering from sciatic nerve pain since
799,Need help finding info on kidney nodule. need help finding,Need help finding information about kidney nodules. need help finding,I need help finding information about renal nodule.,Need help finding information on kidney nodules. need help finding,nan,I need help finding information about kidney nodules.
800,Tmau is a rare genetic condition that causes a condition,"""I am tired, smell like fish poop and become the",Tmau is stinky like fish poop and it's,"""I'm tired, smell like fish feces and am talked","""I am tired of smelling like fish poop and being talked","""I'm tired, I smell like fish feces and I"
801, i have a few qs related to vistaril.,,nan,nan,nan,nan
802,My son dobdate was called back to the hospital four,,nan,nan,nan,nan
803,i do have relative smoker in past diagnose with copd i,I have a relative who smoked in the past and was diagnosed,nan,I have a relative who was a smoker in the past diagnosed,I do have a relative who smokes and was diagnosed with COP,I have a relative who was a smoker in the past and
804,i am suffering from demylination sensorimotor neuropathy,,nan,nan,nan,nan
805,A patient with kidney stone size of 12mm x 23mm,I have kidney stones of size 12mm x 23mm.,What can i do with kidney stones 12mm x 23mm,Drin has a case of a patient with kidney stones of,"I have a kidney stone patient, the size is 12mm",I have a patient with kidney stones measuring 12mm x 23
806,My partner has meesmann corneal dystrophy,My partner has Meesmann's corneal dystro,My partner has meesmann corneal dystrophy,My partner has Meesmann's corneal dystro,My partner has Messmann corneal dystrophy.,My partner has Meesmann's corneal dystro
807,Can you please send me as much information as possible on hyp,I was recently diagnosed with the disease and am trying to find,I was recently diagnosed with this disease and am struggling to understand,Can you please send me as much information as possible about hyp,I was recently diagnosed with hypothyroidism. I am,I was recently diagnosed with the disease and am struggling to figure
808,My husband has cystic fibrosis and he had the double,My husband has cystic fibrosis and he had a bilateral,My husband has cystic fibrosis and had a double lung,nan,My husband has cystic fibrosis and he had a double,My husband has cystic fibrosis and had a double lung
809, physician assisted suicide legal in any state what is someone is dying,,nan,nan,nan,nan
810,i have a fractured nose i need it fixed its been broke,"I have a broken nose and need to get it fixed,","I have a broken nose and I need to fix it,","I have a broken nose, I need it fixed, it",I have a broken nose that needs to be repaired and it,"I have a broken nose that needs fixing, it's been"
811,i certainly would like to request for medical for hoe in,,nan,nan,nan,nan
812,When do you know you should not take tecfidera,When do you know not to take Tecfidera?,nan,When do you know you should not take tecfidera,When do you know you shouldn't take tecfidera,"On day 1, my legs and feet felt normal for the"
813,i have a age and a age boys who have been diagnosed,i have two boys aged 18 diagnosed with the mecp2,I have two boys ages and ages who have been diagnosed with,i have a boys age and age who have been diagnosed with,"I have two children, 18 and 20, who have been",I have a 12 year old boy who has been diagnosed with
814,i have ostonecrois i need a booklet on it,,nan,nan,nan,nan
815,i am taking amlodipine and it has caused,I take 5mg of amlodipine and will,nan,nan,nan,I am taking 5mg of amlodipine and
816,Doctor prescribed for type 2 diabetes wmetformin 500 mg,,nan,nan,nan,nan
817,i am 48 years old and have macular degeneration im,I am amazed by new research and tests on macular degener,I am wondering about new research and testing on macular degener,I am 48 years old and I suffer from macular degener,I am curious about the new research and testing for macular,"""I cordially ask for your attention. I am 48"
818,i have been treated for breast cancer and had chemotherapy and read,I was treated for breast cancer and had chemotherapy and prep.,I take letrozole 25 to block estrogen in my,I have been treated for breast cancer and have undergone chemotherapy and,"Since stopping treatment I now have asthma, I take Letro",I have been treated for breast cancer and have had chemotherapy and
819, wolff parkinson white slow heart rate your article is,,nan,nan,nan,nan
820,My husband has been detected an insulinomaneed further information,,nan,nan,nan,nan
821,What are some treatments for pubic lice. pubic,What treatment options are there for pubic lice?,nan,nan,nan,nan
822,Im suffering from nodular goiter the size of enlarged thyroid,Some doctors have suggested surgery which I don't want to undergo,i am suffering from nodular goiter the size of enlarged,The size of the enlarged thyroid gland is visible but not like,"Some doctors recommend surgery, but I don't want to do",nan
823,i would like to know some of the medications to treat coronary,I would like to know some medicines for the treatment of coronary,I would like to know some of the drugs to treat coronary,i would like to know some of the medicines to treat coronary,I would like to know some medicines for coronary artery blockage,I would like to know some of the medications to treat coronary
824,i am recovering from shingles i am on antiviral,I am recovering from shingles and taking antiviral medication,"My husband is having surgery tomorrow, can I go to the","I am recovering from shingles, I am taking antiv",Shingles is currently on the right side of my face,My husband is having surgery tomorrow. Can I go to the
825,Ciprofaxin is an anti-viral drug,Ciprofaxine is used to treat citrobactor,Does ciprofaxine work well? Is there a,"Is there a better drug? if so, which one?",nan,"Is there a better drug? If so, which one?"
826,M from location its almost a 2yrs i m not getting,M has been unable to get pregnant for almost 2 years.,My husband's sperm count is zero and it is a k,Klinefelter syndrome. Is there any treatment for,"""I have not gotten pregnant for almost two years,"" says",My husband sperm count is zero and i have done molecular biology
827,How to get rid of erections. How to get,,nan,nan,nan,nan
828,i want to find out outsince i want to marry her,,nan,nan,nan,nan
829,"""What are the biological causations of decubitus ul",,nan,nan,nan,nan
830, im looking for books about hypotensionlow blood pressure can you,I'm looking for books about hypotension and low blood pressure,I'm looking for books on hypotension and low blood pressure,I am looking for books on low blood pressure. Can you,nan,I am looking for books on hypotension and low blood pressure
831,my 10 month granson is having surery on tuesday,,nan,nan,nan,nan
832,What will happen to a 53 year old woman who has been,,nan,nan,nan,nan
833,The condition most likely caused the death of my first child back,I just learned that this condition most likely caused the death of,i need to know if cdh can be passed on to,I just learned that this condition most likely caused the death of,nan,I just found out that this condition probably caused the death of
834,How long is the half life of chlordizepoxide,,nan,nan,nan,nan
835,i am searching for treatment for a disease called baker which is,I am looking for a treatment for a disease called Baker which,nan,I am looking for treatment for a disease called Baker which is,nan,I am looking for a treatment for a disease called Baker's
836,Antiphosoholipid syndrome is an autoimmune blood,,nan,nan,nan,nan
837,The family that takes 2 showers and now about 3 showers a,My mom and I have tried so many things to get rid,My mom and i have tried so many things to get rid,My mom and I have tried so many things to get rid,Our family used to shower twice a day and now we shower,My mom and I have tried so many things to get rid
838,Many of us have a fear of getting an asympt,Many of us are afraid of an asymptomatic internal,Many of us are afraid of having an asymptomatic,Many of us are afraid of having an asymptomatic,Many of us fear an asymptomatic perforation,Many of us are afraid of suffering from an asympt
839,i found 4 cases of expired 042010 hydrogen peroxide.,I found 4 cases of expired hydrogen peroxide 042010.,nan,nan,I found 4 boxes of expired 042010 Hydrogen Peroxide,I found 4 boxes of expired 042010 hydrogen peroxide.
840,How can i relieve dry mouth?,,nan,nan,nan,nan
841,My brother has purpura disease since 2003 kindly gude,My brother is suffering from purpura since 2003. Please,My brother has purpura since 2003. Please guide us,My brother is suffering from purpura since 2003. Please,My brother has been suffering from purpura since 2003.,My brother has been suffering from purpura since 2003.
842,Hello my name is name and im hoping you can help me,Name has albinism. Her hair is brown and her,Albinism is a genetic disorder that affects people with,nan,When i was born the doctors diagnosed me with albinism,When I was born my doctor diagnosed me with albinism
843,We need treatment for balance disorder. My father loses his balance,My father loses balance while walking or climbing stairs. We need,"We need treatment for balance disorder, my father loses his balance","We need treatment for balance disorder, my father loses his balance","We need to cure balance disorder, my father loses balance when",My father loses balance when walking or climbing stairs. We need
844,Shaking of eyes disorder is there in family nobody is having,,nan,nan,nan,nan
845,My brother has ms. I am searching for something that can,My brother has MS. I am looking for something that can,nan,My brother has multiple sclerosis. I am looking for something that,nan,My brother has MS. I am looking for something that can
846,Excessive eye water tears occurring all the time and filling my,I constantly get excessive tears from my eyes and I mostly close,nan,Excessive tears from my eyes fill my nose especially at night,nan,Excessive tears in my eyes which occur all the time and
847,i am looking for research on ibs and the link to,,nan,nan,nan,nan
848,i have a claw hand and i would like you to mail,I have clawed hand and would like you to email me,I have a claw hand and would like you to send me,nan,I have a claw hand and I would like you to email,I have a claw hand and I would like information about treatments
849,My daughter have distal renal tubular acidosis we are,My daughter has distal renal tubular acidosis we are,"My daughter has distal renal tubular acidosis, we","My daughter has distal renal tubular acidosis, we","My daughter has distal renal tubular acidosis, we",My daughter has distal renal tubular acidosis. We
850,About 20 years ago i suffered ruptured anterior cruciate,,nan,nan,nan,nan
851,i am interested to have in vitro fertilization test tube baby,I am interested in in vitro fertilization in a test tube,I am interested in having a baby in a test tube with,nan,nan,I am interested in having a test tube baby through in vitro
852,What is homeostasis and why is it so important?,What is homeostasis and why is it important? What,What is homeostasis and why is it so important?,What is homeostasis and why is it so important?,What is homeostasis? Why is it so important?,What is homeostasis? Why is it so important?
853,i want to know the possibility of two people who are as,,nan,nan,nan,nan
854,My father has colon cancer and said he saw a commercial on,My father has colon cancer and said he saw a commercial on,My dad has colon cancer and he said he saw an ad,My dad has colon cancer and said he saw an ad on,My father has colon cancer and he said he saw an ad,nan
855,"""I'm on oxycodone 5mg 2 every 4",What will happen to me if my doctors just stop my oxy,What would happen to me if my doctors stopped me from taking,What will happen to me if my doctors just stop my oxy,What will happen to me if my doctor stops giving me 5,How do I get doctors to gradually wean me off of
856,My sister have htlv1 we are looking information or,My sister has htlv1 we are looking for information,nan,My sister has htlv1 we are looking for information,nan,nan
857, scleroderma systemic sclerosis i am 22yrs now and,,nan,nan,nan,nan
858, dear i am suffering from ild problem as per my doctor,,nan,nan,nan,nan
859,i have very bad breath and at times it can make myself,I have very bad breath and sometimes it can make me and,I have very bad breath and sometimes it can make myself and,I have very bad breath and sometimes it can make me and,I have bad breath which sometimes makes me and others uncomfortable.,I have very bad breath and sometimes it can make me and
860, could you please tell me what a bundle blockage is what,,nan,nan,nan,nan
861,i just sent a message about working at the airport with sh,"""I just sent a message saying I'm working at the",i just sent a message about working at the airport with sh,"""My doctor cleared me to return to work in 3 days","Shingles only takes 11 days to recover, according to",My doctor cleared me to go back to work in 3 days
862,Can i take sam e with my blood pressure med and sim,Can I take Sam E with my blood pressure medication and sim,nan,Can i take the same medicine with my blood pressure medicine and,nan,Can I take sam e with my blood pressure medication and sim
863,What causes hypertension and diabetes? Find out.,What causes high blood pressure and diabetes?,nan,What are the causes of hypertension and diabetes. what are the,nan,What causes high blood pressure and diabetes?
864,i am a type 1 diabetic and have been since i was,I have had type 1 diabetes since I was nine months old,nan,I have been a type 1 diabetic since I was nine months,I would love to talk to anyone who is interested in a,I am a type 1 diabetic and have been since I was
865,Good day doctor my name is name from nigeria in west,Name from Nigeria in West Africa. I would be very grateful,Good morning doctor my name is i am from Nigeria in West,"""I would greatly appreciate if you could contact me urgently with","""I would be grateful if you could contact me urgently with","""i would be very grateful if you could contact me urgently"
866,Would appreciate any good info on lewy body dementia. We,I would appreciate any good information about Lewy Body Dement,I would appreciate any good information on Lewy Body Dement,I would appreciate any good information on Lewy Body Dement,"""We need to make people aware of this horrible disease,",I would appreciate any useful information about Lewy body dementia.
867,i would appreciate it if you can send me or email me,I would be grateful if you could send or email me some,I would appreciate it if you could send or email me some,I would appreciate it if you could send or email me some,If you could send or email me some exercises for stroke patients,I would appreciate if you could send or email me some exercises
868,My son is now 9 years old and got his 1st,,nan,nan,nan,nan
869,What is your position on homozygout mthfr a,What is your opinion on health problems and the long-term, of homozygous MTHFR A1298C, a1298c. What is your position on health,nan,What is your position on the health issues and long-term
870,My problem based on nerves my sister legs nerves tried each other,My sister's legs and nerves are trying to interfere with each,My sister's leg nerves tried each other how can i cure,My problem is based on nerves my sister's leg nerves have,"My sister's leg nerves try each other, how can I",nan
871,i have 3 week old who was admitted in our location for,3 week old baby admitted to hospital due to growth retardation,"During pregnancy there was polyhydramnios, but the",3 week old baby admitted to our facility for failure to thrive,nan,3 week old baby boy admitted to our location for failure to
872, i wanted info on anhedonia your web site is well,I have never seen a better made website in 20 years.,I have never seen a better made website in 20 years.,I have never seen a better website in 20 years in a,"I have never seen a better website in 20 years, in","Anhedonia's website is fine, their organization stinks"
873,i was just diagnosed with osteoporosis. printed materials,I have just been diagnosed. Is there a way to send,nan,Is there a way to mail me osteoporosis materials,I have just been diagnosed with osteoporosis. Is,nan
874,i was recently taken off of wellbutrin hcl x,,nan,nan,nan,nan
875,Can i safely take levaquin and prednisone the,,nan,nan,nan,nan
876,i am a current gastroparesis fighter with a g,I am currently a gastroparesis warrior with a G,nan,I am a current fighter against gastroparesis with a,I am currently a gastroparesis fighter and have a,I am a current gastroparesis fighter with a gast
877,What is the technical and simple language of msud are there,Are there treatments for MSUD? Genetic or chromosomal changes,What is the technical and simple language of MSUD are there,What is the technical and simple language of msud are there,nan,Is there any treatment for MSUD? What is the technical
878,i would like to interview an individual from medicineplus to learn,Anorexia Project is a year-long service project.,In 7th grade i am doing a year long service project,nan,8th grade student is researching anorexia nervosa.,Anorexia Project is a year-long service project.
879,My 59 yo sister has a diagnosis of periventricular,My 59-year-old sister has a diagnosis of per,Has there ever been a genetic or other correlation made between these,My 59 year old sister has been diagnosed with periventric,My 59 year old sister was diagnosed with periventricular,My 59 year old sister has a diagnosis of periventric
880,i need the information for posterior fossa one of my friends,One of my friends who suffers from this disease <PAD,I need information about the posterior fossa of one of my,"I need information about posterior fossa, a friend of mine","I need information about the posterior fossa, a friend of",nan
881,my friend is suffering from thalassemia in that major,"When she coughs, blood comes out of her mouth.",My friend is suffering from thalassemia which is red,"My friend is suffering from thalassemia, mainly an","My friend has thalassemia, mainly red blood cell",My friend is suffering from Thalassemia which is characterized
882,i am suffering from optic atrophy which led to loss of,I am suffering from optic nerve atrophy which caused vision loss,i suffer from optic atrophy which led to loss of vision,nan,I have optic atrophy which causes loss of vision and inability,i suffer from optic atrophy which led me to loss of
883,My brother named name has multiple tumors in brain and spine.,My brother named has multiple tumors in his brain and spine.,My brother named has multiple tumors in his brain and spine.,My brother named name has multiple tumors in his brain and spine,"My brother is name, he has multiple tumors in his brain",My brother by name has multiple tumors in his brain and spine
884, dear sirmam my name is name from location 28 years,,nan,nan,nan,nan
885,i am someone who is out to get information about the developments,,nan,nan,nan,nan
886,Im 56 have pierced ears but havent wore earrings in,,nan,nan,nan,nan
887,My wife is suffering from subject since last couples of years.,,nan,nan,nan,nan
888,Do you believe that there will ever be a bonafide,Do you think there will ever be a real cure for multiple,Do you think there will ever be a real cure for multiple,Do you believe there will ever be a real cure for multiple,nan,Do you think there will ever be a genuine cure for multiple
889,. how to provide the treatment of broken shoulder lock,How to treat the problem of a broken shoulder blockage.,nan,How to provide treatment of broken shoulder locking problem. how to,nan,How to treat the problem of broken shoulder lock. How to
890,i had dental work done last jan and i still have many,I still have a lot of tablets in the bottle for further,nan,I had dental work last January and I still have many tablets,There are still many tablets in the bottle. Can I continue,I still have plenty of pills in the bottle for more dental
891,My blood presur is 140100 what can i do for,,nan,nan,nan,nan
892,i was diagnosed with sheehans syndrome almost 14 years after,I was diagnosed with Sheehans Syndrome almost 14 years after,I was diagnosed with Sheehan's Syndrome almost 14 years,I was diagnosed with Sheehan's syndrome almost 14 years,After her daughter was born I nearly died and nearly 14 years,I was diagnosed with Sheehan's Syndrome almost 14 years
893,My father my daughter and son and granddaughter also have this mutation,"My father, my daughter, my son and my granddaughter also","My father, my daughter, my son and my granddaughter also","My father, daughter, son and granddaughter also have this hyp",nan,"My father, my daughter, my son and my granddaughter also"
894,Biopsy report suggested that he is suffering from renal amyl,"This is my cousin's name, place of residence, name",Biopsy report suggested that he is suffering from renal amyl,This is the name living where my cousin's name is.,"""Please go through these reports carefully and let me know the",The biopsy report suggested that he is suffering from renal am
895, helloi was suffering from filariasis before 6 month then,I was suffering from filariasis 6 months ago then I,Hi i suffered from filariasis before 6 months then i,"""I was suffering from filariasis before 6 months then","""I got filariasis six months ago, then I","I was suffering from filariasis before 6 months, then"
896,i have a list of questions about tay sachs,I have a list of questions about Tay Sachs Disease and Club,I have a list of questions about Tay Sachs disease and club,i have a list of questions about tay sachs,I have a series of questions about Tay-Sachs,I have a list of questions about Tay Sachs disease and club
897,What causes women menses over a month and how bad it,,nan,nan,nan,nan
898,i have a stiff neck that will not go away. i,"""I have a stiff neck that won't go away""",nan,nan,I have a stiff neck and it won’t get,nan
899,i just read an article submitted by you that stated your research,I have had this for 15 years and am just waiting to,i have had this for 15 years and i am just waiting,I belong to a group of over 500 people with burning mouth,I have suffered from this for 15 years and am just hanging,I belong to a group of over 500 people with BMS
900,Hijust wanna ask 1how the aspirin can affect the,,nan,nan,nan,nan
901, ms smell disorder anosmia patient sufferer writing from location,"""I have longed for divine intervention to restore my sense","""I have been longing for divine intervention to restore my sense","""I have been miserably longing for divine intervention to restore","""I have desperately wanted help from above to restore my sense","""I have miserably wished for divine intervention to restore my"
902,58-year-old wants to undergo leg shortening su,"I would like to know how much this operation costs, how","I would like to know the cost of this procedure, recovery","I would like to know the cost of this operation, the","I would like to know the cost of this surgery, the","I would like to know the cost of this surgery, the"
903,i am working with a hep c patient who needs treatment but,I am working with a hep c patient who needs treatment but,nan,nan,I am treating a patient with Hepatitis C who needs,nan
904,My brother name is diagnosed itp his doctor advises lapar,,nan,nan,nan,nan
905,i would like to know if there is any support for those,I am undiagnosed but have had many tests that,I would like to know how to get a diagnosis and how,I would like to know if there is any support for those,I would love to understand how it is diagnosed and what to,I would like to know if there is any kind of help
906,Student suffers from pectus excavatum funnel chest and needs,I am a student who is suffering from Pectus Exc,nan,I am a student who is suffering from pectus excav,nan,I am a student suffering from pectus excavatum and
907,My md instructed floraq amazon advertises risaquad,"My doctor ordered FloraQ, Amazon advertises Risa",My doctor told me that Floraq Amazon advertises Risa,Your site has never heard of Risaquad. Amazon's,My doctor ordered floraq amazon advertises risaquad,My doctor told me that FloraQ on Amazon advertises
908,i am doing a research report on sudden cardiac arrest in adolescence,I'm doing a research paper on sudden cardiac arrest in adolescence,i am writing a research paper on sudden cardiac arrest in adolescence,nan,"""I am doing a research paper on cardiac arrest in adolescents",I am doing a research report on Sudden Cardiac Arrest
909,5 days later i admitted in a hospital in treatment of viral,"My organs, kidneys etc are normal but my total bilir",5 days later i was admitted to hospital for viral fever in,"5 days later, I was admitted to the hospital for treatment","My total bilirubin was higher than normal, it",My total bilirubin is higher than normal. Doctor
910, need all up date on lupus an send by mail,,nan,nan,nan,nan
911, phobia fear of taxidermy is a fear of something,,nan,nan,nan,nan
912,Spina bifida vertbral fusions and tethered,,nan,nan,nan,nan
913, regarding gene hellocan you advise me as to where i,I think it has to do with a conversation about vitamin A,The gene and the variation bcmo1 rs 4889294,The gene and the variation bcmo1 rs 4889294,The gene has something to do with vitamin a dialogue but i,"I think it has to do with vitamin A, but I"
914,My grandson 4 yrs old has contracted rubella. He,"My grandson, 4 years old, has contracted rubella.","My 4 year old nephew got rubella, i know for","My 4 year old grandson got rubella, i know for","My grandson is 4 and has rubella, I am sure","My 4 year old grandson got rubella, I know for"
915,i was born with diabetes insipidus and have many,,nan,nan,nan,nan
916,What are the basic differences between apraxia and dysp,What are the basic differences between apraxia and dysp,What are the basic differences between apraxia and dysp,nan,"Apraxia is compared to the milder disorder, dys",What are the basic differences between apraxia and dysp
917,i think a sibling of mine might have it. where could,,nan,nan,nan,nan
918,What is the best thing to do for my dad who we,,nan,nan,nan,nan
919,How often can a pupil dilation or eye fundus can,How often can pupil dilation or a fundus examination be,How often can a pupil or fundus dilation be done,How often can a pupil dilation or fundus exam be,How often can pupil dilation or fundus examination be performed,How often can a pupil dilation or fundus examination be
920, advair and spiriva are both control meds. should,"If Advair and Spiriva are to be used together,","If Advair and Spiriva are to be used together,","If advair and spiriva are to be used together,",Should Advair and Spiriva be used together?,Should Advair and Spiriva be used together? I understand
921,i have a 10 year old boy with that syndrome and i,"When my son was diagnosed, I was told there was nothing",I have a 10 year old with this syndrome and I would,When my son was diagnosed I was told he wouldn't be,I have a 10 year old son who has this syndrome.,I have a 10-year-old boy with this syndrome
922,My wife has been suffering from falaria disease in her right,,nan,nan,nan,nan
923,What is the clinical name for people who have chemical reactions to,What is the clinical name for people who have chemical reactions to,What is the clinical name for people who have chemical reactions to,What is the clinical name for people who have chemical reactions to,What is the clinical name for someone who has a chemical reaction,What is the clinical name for people who have chemical reactions to
924,. how much level of feritin is responsible for,How much level of ferritin is responsible for SLE,nan,What level of ferritin is responsible for SLE adult,nan,nan
925,How can i determine whether or not ive had chicken po,How can I tell if I've had chickenpox or not,How can I tell if I have had chickenpox or not,How do i determine if i have had chickenpox or not,How do I know for sure if I have had chicken po,How can I tell if I've had chickenpox or not
926,Achondroplasia is a genetic disease that affects,Achondroplasia is a genetic disease. Can,Achondroplasia is a disease to research.,Achondroplasia is a genetic disease. It,Achondroplasia is a genetic disease.,Achondroplasia is a genetic disease biology project
927,My mensuration cycle is not uniform there are many days,,nan,nan,nan,nan
928,i want more information on hypertension and fibromyalgia. i,I want more information about high blood pressure and fibromyalgia,I would like more information about hypertension and fibromyalgia.,nan,I would like to learn more about hypertension and fibromyalgia,I want more information on hypertension and fibromyalgia. I
929,My son has been diagnosed with inversion of long arm chrom,My son has been diagnosed with an inversion of the long,nan,My son was diagnosed with long arm chromosome 7 inversion and,My son has been diagnosed with long arm chromosome 7 inversion,My son has been diagnosed with long arm inversion of chromosome
930,i want to know about lupus and its treatment best,"Hello, I want to know about lupus and its",I would like to know something about lupus and its,I would like to know more about lupus and its,I would like to know the best name for lupus,"Hello, I want to know about lupus and its"
931,i get report for my father from hospital it is saying that,,nan,nan,nan,nan
