,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
792,glyburide 25 mg tablets from teva pharmaceuticals,nan,nan,nan,nan,nan
793,i am 23yr boyi have knock knees i,23-year-old has knock knees and wants to be treated,"i am a 23 year old boy, I have knock knee",I am 23 years old and I have knock knees .,nan,"I am a 23 year old boy, I have knock knees"
794,leg swelling my mother 57 age his leg swelling from last 6 months,"my mother is 57, his leg is swollen since","swelling in legs my mother 57, 57 years old swelling in",my mother is 57 years old her leg is swelling since 6 months,my mom is 57 and her legs have been swollen,my mother is 57 and her legs are swollen since
795,i am a 75 year old man i have 2 in,nan,nan,nan,nan,nan
796,i am facing low platelet count in my blood pt,"my platelet count is 70,000, 140,000, 65,000,",hi i have low platelet count in my blood pt,i am facing low platelet count in my blood pt,my platelet count is 70 000 140 000 65 000 90 000 which,"my platelet count is 70,000, 140,000, 65,000 and"
797,i was diagnosed with anti kidd jk5 in 2009,I was diagnosed with anti-Kidd JK5 in,I was diagnosed with anti Kidd JK5 in 2009 .,I was diagnosed with anti-kidd jk5 in,I was diagnosed with anti-Kidd JK5 in,I was diagnosed with anti-Kidd JK5 in
798,i am from location my cousin elder father suffering from sciatic nerve,he has been suffering from sciatic nerve pain for a long,"my cousin, the elderly father, has been suffering from sciatic nerve",my elder cousin is suffering from sciatic nerve pain for a long,nan,"the patient is lying on the bed, no one can help him to"
799,need help finding info on kidney nodule kidneys .,need help finding information about kidney nodulesPAD>,i need help finding information about renal nodulePAD,need help finding information on kidney nodulesPAD>,nan,kidney nodules need help finding information about kidneysPAD
800,gene therapy im tired kg smells like fishfeces .,tmau is the topic of conversation every day of my life,tmau please find a way to research how to cure,tmau please find a way to research and cure ,tmau please find a way to study gene therapy ,"tmau, please find a way to research t"
801,vistaril 1 is a glutenfree product 2 if not,nan,nan,nan,nan,nan
802,dobdate was diagnosed with pheochromocytomas,nan,nan,nan,nan,nan
803,i do have relative smoker in past diagnose with copd .,a relative smoked in the past and was diagnosed with COPD,nan,a relative who was a smoker in the past diagnosed with CO,a relative who smokes and was diagnosed with COPD in the,a relative was diagnosed with COPD in the past . 
804,i am suffering from demylination sensorimotor neuro,nan,nan,nan,nan,nan
805,a patient with kidney stone size of 12mm x 23mm,a patient with kidney stones of size 12mm x 23mm,hi drin a case of patient with kidney stones 12mm ,a patient with kidney stones of size 12 mm x 23,a kidney stone patient is 12mm x 23mm .,I have a patient with kidney stones measuring 12mm x 23
806,he has meesmann corneal dystrophy he,meesmann's corneal dystrophy was not diagnosed,he has meesmann corneal dystrophy he,meesmann's corneal dystrophy is a,"partner has corneal dystrophy, he has had it since",meesmann's corneal dystrophy is a
807,can you please send me as much information as possible on hypothyroid,can you please send me as much information as possible about hypothyroid,can you send me as much information as possible about hypothyroidis,can you please send me as much information as possible about hypothyroid,I was recently diagnosed with hypothyroidism . my name,can you please send me as much information as possible about hypothyroid
808,husband has cystic fibrosis and had double lung transplant operation,husband has cystic fibrosis and had a bilateral lung,husband has cystic fibrosis and had a double lung,nan,husband has cystic fibrosis and he had a,my husband has cystic fibrosis and had a double
809,physician assisted suicide legal in any state what is someone is dying and they,nan,nan,nan,nan,nan
810,i have a fractured nose i need it fixed its,i have a broken nose and need to get it fixed ,my nose has been broken for 3 years nowPAD>,my nose has been broken for 3 years nowPAD>,a broken nose has been broken for three years .,"a broken nose needs fixing, it's been broken for 3"
811,i would like to request for medical for hoe in the lung,nan,nan,nan,nan,nan
812,i took tecfidera 9 days day 1 my,my legs and feet felt normal for the first time in 5 years Day,nan,day 1 my legs and feet were normal for the first time in 5,my legs and feet felt normal for the first time in 5 years ,"on day 1, my legs and feet felt normal for the first time in"
813,mecp2 gene mutation affects a boy and a,two boys aged 18 diagnosed with mecp2 gene mutation .,two boys ages and ages have been diagnosed with the mec,i have a boys age and age who have been diagnosed with,"two children, 18 and 20, have been diagnosed with a mec",a boy has been diagnosed with the mecp2 gene mutation
814,clinicaltrialsgov suggestion i have ostonecrois,nan,nan,nan,nan,nan
815,amlodipine has caused my pause rate to be very,I take amlodipine and it has caused my break rate,nan,nan,nan,amlodipine has caused my discontinuation rate to be very
816,doctor prescribed for type 2 diabetes wmetformin 500 mg 2,nan,nan,nan,nan,nan
817,macular degeneration is getting worse in the left eye cordially,macular degeneration is becoming worse in my left eye .,macular degeneration I am 48 years old and I am blind in,I am 48 years old and I suffer from macular degeneration ,i am 48 years old and have macular degeneration .,"i am 48 years old and I have macular degeneration,"
818,i have been treated for breast cancer and had chemotherapy and readi,I take Letrozole 25 to block any estrogen in my body,letrozole 25 block estrogen in my body because my tumor was,I am taking letrozole 25 to block all estrogen in my,I have been treated for breast cancer and have had chemotherapy and medication ,I am on letrozole 25 to block any estrogen in my
819,wolff parkinson white slow heart rate your article is very,nan,nan,nan,nan,nan
820,name name date and time of contact thu 1 jan 2015,nan,nan,nan,nan,nan
821,pubic lice . what are some treatments for . pubic,pubic lice: what treatment options are there for pubic pubic,nan,nan,nan,nan
822,hi im suffering from nodular goiter the size of ,the size of the enlarged thyroid is visible but not large .,hi i am suffering from nodular goiter the size,the size of the enlarged thyroid gland is visible but not like ,"the size of the swollen thyroid gland is visible, but",nan
823,iam name from location i would like to know some of,"I am Name, I am from the place, I would like to",i would like to know some of the drugs to treat coronary,place name i would like to know some of the medicines to treat,I would like to know some medicines for coronary artery blockage,I would like to know some of the medications to treat coronary 
824,i am on antiviral medication this is my second week with,this is my second week with shingles and taking antiviral medication,"my husband is having surgery tomorrow, can I go to the hospital with","i am recovering from shingles, I am taking antiviral","i am recovering from shingles, I am taking antiviral",shingles are currently on the right side of my face near my right
825,citrobactor freundii does cipro,citrobactor freundii is there a better,citrobactor freundii does cipro,citrobactor freundii does cipro,nan,Citrobactor freundii Does cipro
826,hi doctor my name is m from location its almost a 2,"I have done some tests on my husband, sperm count is",i have done some tests on my husband the sperm count,"I did some tests on my husband, sperm count is zero","doctor, my name is m, I am from a place",i have done some tests on my husband sperm count is
827,problems with erections how to get rid of er,nan,nan,nan,nan,nan
828,dear dr please i have a friend that has the,nan,nan,nan,nan,nan
829,my name is name i am a year 12 student at location,nan,nan,nan,nan,nan
830,im looking for books about hypotensionlow blood pressure can you suggest any,can you recommend any books that I could buy?,can you suggest me some books that I could purchase?,"I am looking for books on low blood pressure, can you suggest some",nan,I am looking for books on hypotension and low blood pressure .
831,w what are the causes of pulmonary artery sling,nan,nan,nan,nan,nan
832,53-year-old woman has been dignoised with pots,nan,nan,nan,nan,nan
833,i just learned that this condition most likely caused the death of my,this condition most likely caused the death of my first child in 1971 ,the term congenital means it could be passed on to another generation,this condition most likely caused the death of my first child in 1971 ,nan,this condition probably caused the death of my first child in 1971 .
834,this quastion is very important for my studythats why,nan,nan,nan,nan,nan
835,i need to get treatment by medical researches if possible,I need to receive treatment through medical research if possible .,nan,"Dear Clinical Trials, I am looking for treatment for a disease",nan,I need to get treatment through medical research if possible .
836,i guess that since it is female directed 91 female to male,nan,nan,nan,nan,nan
837,i was just wondering is washing our clothes the best bet to,my mom and I have tried so many things to get rid of these,my mom and i have tried so many things to get rid of,my mom and I have tried so many things to get rid of these,my mom and I have tried so many things to get rid of these,my mom and I have tried so many things to get rid of these
838,many of us have a fear of getting an asymptomatic,many of us are afraid of an internal perforation in the digestive,asymptomatic internal perforation in the digestive tract leads to,"can this happen and if it does, how can a patient",many of us fear an asymptomatic perforation in the,asymptomatic intestinal perforation in the digestive tract leads to
839,i found 4 cases of expired 042010 hydrogen peroxide how,I found 4 cases of expired hydrogen peroxide 042010 .,nan,nan,I found 4 boxes of expired 042010 Hydrogen Peroxide ,I found 4 boxes of expired 042010 hydrogen peroxide .
840,how can i relieve dry mouth . dry mouth is a,nan,nan,nan,nan,nan
841,my brother has purpura disease since 2003 kindly gude,my brother is suffering from purpura since 2003 . please give,my brother has purpura since 2003 please guide us with the correct,my brother is suffering from purpura since 2003 please guide us with,brother has been suffering from purpura since 2003 . please guide,my brother has been suffering from purpura since 2003 . please
842,my name is name and im hoping you can help me when i,when I was born my doctor diagnosed me with albinism .,my name is name and i hope you can help me when ,nan,when i was born the doctors diagnosed me with albinism ,when I was born my doctor diagnosed me with albinism .
843,my father loses his balance while walking or climbing steps . please,my father loses balance while walking or climbing stairs .,my father loses his balance while walking or climbing stairs . please,my father loses his balance while walking or climbing stairs . please,my father loses balance when he walks or climbs stairs ,my father loses balance when walking or climbing stairs . please help
844,for me from birth shaking of eyes disorder is there in family nobody is,nan,nan,nan,nan,nan
845,hi my name is name my brother has ms im searching for,my brother has MS i am looking for something that can help him,nan,my name is Name my brother has multiple sclerosis I am looking,nan,my brother has MS. I am looking for something that can help him
846,i have another question on another problem that im having this problem is,the problem is that I get excessive tears from my eyes . I,nan,the problem is excessive tears from my eyes that fill my nose especially at,nan,the problem is excessive tears in my eyes which fill my nose mostly at
847,ibs and the link to ptsd thank,nan,nan,nan,nan,nan
848,i have a claw hand and i would like you to,I have clawed hand and would like you to email me information,I have a claw hand and would like you to send me information,nan,I have a claw hand and would like you to email me with,I have a claw hand and would like information about treatments for it
849,my daughter have distal renal tubular acidosis we are,my daughter has distal renal tubular acidosis we are,my daughter has distal renal tubular acidosis .,my daughter has distal renal tubular acidosis .,my daughter has distal renal tubular acidosis .,my daughter has distal renal tubular acidosis .
850,dr traumatologo commented me i need a,nan,nan,nan,nan,nan
851,in vitro fertilization hi i am interested to have in vitr,"In vitro fertilization Hello, I am interested in in vitro",in vitro fertilization hello I am interested in having a baby,nan,nan,"in vitro fertilization Hi, I am interested in having a"
852,homeostasis is so important what technology do doctors use to,what is homeostasis? what technology do doctors use to,homeostasis is so important what technology do doctors use to,homeostasis is so important what technology do doctors use to,what technology do doctors use to treat hypothermia? what is,what technology do doctors use to cure hypothermia? how effective
853,types or kinds of sickle cell pls i want to know,nan,nan,nan,nan,nan
854,my father saw a commercial on tv about a cure,my father has colon cancer and said he saw a commercial on,colon cancer cure seen on tv my dad has colon cancer ,colon cancer cure seen on tv my dad has colon cancer ,colon cancer cure seen on tv my father has colon cancer,nan
855,what will happen to me if my doctors just stop my oxy,doctors stop my oxycodone 5 mg 2 every 4 hours,what would happen to me if my doctors stopped me from taking ,i have been taking oxycodone 5mg for,if my doctor stops giving me 5mg of oxyco,doctors stop me from taking oxycodone 5mg 2
856,hermana es de colombia ella ,sister has htlv1 we are looking for information or,nan,hermana es de colombia ella ,nan,nan
857,scleroderma systemic sclerosis i am,nan,nan,nan,nan,nan
858,dear i am suffering from ild problem as per my doctor,nan,nan,nan,nan,nan
859,i have very bad breath and at times it can make myself and,I have very bad breath and sometimes it can make me and others sick,I have very bad breath and sometimes it can make myself and others sick,I have very bad breath and sometimes it can make me and others sick,i have bad breath which sometimes makes me and others uncomfortable .,I have very bad breath and sometimes it can make me and others sick
860,could you please tell me what a bundle blockage is what are,nan,nan,nan,nan,nan
861,dr has me released to go back to work in 3 days,"my doctor cleared me to return to work in 3 days, so that",i just sent a message about working at the airport with ,"my doctor cleared me to return to work in 3 days, which will",the doctor told me to go back to work in 3 days and it,my doctor cleared me to go back to work in 3 days .
862,can i take sam e with my blood pressure ,can i take Sam E with my blood pressure medication and sim,nan,can i take the same medicine with my blood pressure medicine and si,nan,can sam e take my blood pressure medication and sim
863,what causes hypertension and diabetes?,what causes high blood pressure and diabetes? what causes diabetes and high blood,nan,what are the causes of hypertension and diabetesPAD>,nan,what causes high blood pressure and diabetes?PAD>PA
864,i am a type 1 diabetic and have been since ,I have had type 1 diabetes since I was nine months old .,nan,I have been a type 1 diabetic since I was nine months,I am a type 1 diabetic and have been since I was,I am a type 1 diabetic and have been since I was
865,good day doctor my name is name from nigeria in west africa,name is Name from Nigeria in west africa . if contacted,my name is i am from Nigeria in west africa please appreciate it,"Hello Doctor, my name is from Nigeria West Africa . I would","my name is a west african nigerian, ","my name is name, i am from nigeria in west"
866,we need to get people aware of this dreadful disease all,we need to make people aware of this terrible disease . they all,lewy body dementia is a terrible disease that,we need to raise awareness about this terrible disease . all they talk,"we need to make people aware of this horrible disease, all they talk",we need to make people aware of this terrible disease . all they
867,i am unable to walk due to a arthriti,"I cannot walk due to knee arthritis, otherwise I am flexible .",I am unable to walk due to an arthritic knee,my home address is contact mailtocontact. Thank you.,stroke patients cannot walk due to arthritis in my knees .,"I cannot walk due to an arthritic knee, otherwise I"
868,my son got his 1st dose of chikenpo,nan,nan,nan,nan,nan
869,what is your position on homozygout mthfr,what is your opinion on health problems and the long-term progno,what is your position on the health problems and long-term progno,what is your position on health issues and long term prognosis,nan,mthfr a1298c homozygous
870,sir my problem based on nerves my sister legs nerves,my sister's legs and nerves are trying to interfere with each,sir my problem is based on nerves my sister's,sir my problem is based on nerves my sister's,"my question is based on nerves, my sister's leg",nan
871,3 week old was admitted in our location for being growth retarded,3 week old baby admitted to hospital due to growth retardation .,baby was born at term but only weighed 144 kg .,3 week old baby was admitted to facility for failure to thrive .,nan,baby boy was born at term but weighed only 144kg 
872,anhedonia your web site is well i have never seen,anhedonia's website is good. I have never seen,anhedonia your website is fantastic I have never seen a,anhedonia your website is good I have never seen a,"anhedonia's website is great, I have never seen",anhedonia's website stinks of quality name 73
873,osteoporosis i was just diagnosed thank you name location,Printed materials on the subject of osteoporosis .,nan,osteoporosis materials are there a way to mail me,i have just been diagnosed with osteoporosis .,nan
874,wellbutrin hcl xl is affiliated with,nan,nan,nan,nan,nan
875,can i safely take levaquin and prednis,nan,nan,nan,nan,nan
876,i am a current gastroparesis fighter with ,I am currently a gastroparesis warrior with a,nan,I am a current fighter against gastroparesis with ,I am currently a gastroparesis fighter and have ,a current gastroparesis fighter with a gastric
877,gene changes or chromosomal changes of msu,genetic or chromosomal changes in MSUD What is the,genetic changes or chromosomal changes of MSUD are there,genetic or chromosomal changes of msud,nan,genetic changes or Chromosomal changes of MSUD What is
878,anorexia project hi my name is name and i attend,"anorexia Project Hi, my name is Name and I am",anorexia project hi my name is name and i go,nan,"anorexia ProjectHi, my name is name and I am","anorexia Project Hi, my name is Name and I attend"
879,my 59 yo sister has a diagnosis of peri,my 59-year-old sister has periventricular heterot,my sister has a diagnosis of periventricular heterotopia her,"my sister, 59, has been diagnosed with periventricular hetero",my 59 year old sister was diagnosed with periventricular heterot,my sister has a diagnosis of periventricular heterotopia 
880,posterior fossa is one of my friends struggling with this disease,posterior fossa is one of my friends who suffers from,i need information about the posterior fossa of one of,posterior fossa is a disease that can cause a,a friend of mine is battling this disease PAD,nan
881,sirmy friend is suffering from thalassemia in that,"thalassemia is mainly red blood cell anemia,",my friend is suffering from thalassemia which is red and,thalassemia is mainly anemia of red and white,"friend has thalassemia, mainly red blood cell an",my friend is suffering from Thalassemia which is characterized by an
882,hello names case name sex male date of birth 1964 nationality,treatment of optic nerve atrophy caused vision loss and inability to see,hello names case name sex male date of birth 1964 nationality,nan,optic atrophy causes loss of vision and inability to see things ,optic nerve atrophy treatment hello names case name gender male date of birth
883,brother named name has multiple tumors in brain and spine after going through,brother named has multiple tumors in his brain and spine . after,brother named has multiple tumors in his brain and spine after having 3,brother named name has multiple tumors in his brain and spine .,"brother is name, he has multiple tumors in his brain and",brother by name has multiple tumors in his brain and spine after 3
884,i am suffering from neurofibromatosis type 2 last,nan,nan,nan,nan,nan
885,strabismus lazy eye correction is an adult stem cell research therapy,nan,nan,nan,nan,nan
886,ear lobe creases always heart disease and 100 heart,nan,nan,nan,nan,nan
887,dear sir my wife is suffering from subject since last couples of years,nan,nan,nan,nan,nan
888,do you believe there will ever be a bonafide cure,do you think there will ever be a real cure for multiple ,do you think there will ever be a real cure for multiple ,do you believe there will ever be a real cure for multiple ,nan,do you think there will ever be a genuine cure for multiple 
889,how to provide the treatment of broken shoulder lock problem . how to,how to treat the problem of a broken shoulder blockagePA,nan,how to provide treatment of broken shoulder locking problemPAD>,nan,how to treat the problem of broken shoulder lockPAD>
890,i had dental work done last jan and i still have,I had a dental procedure last January and have a lot of,nan,I had dental work last January and I still have many tablets in the,dental work done last January and there are still many tablets in the bottle,I had a dental treatment last January and still have plenty of pills
891,my blood presur is 140100 what can i do for normal,nan,nan,nan,nan,nan
892,sheehans syndrome almost 14 years after almost dying after the birth,I was diagnosed with sheehans syndrome almost 14 years ago ,sheehan's syndrome was diagnosed almost 14 years ago .,sheehan's syndrome was diagnosed almost 14 years ago .,after my daughter was born I nearly died and nearly 14 years later I,I was diagnosed with sheehan's syndrome almost 14 years after
893,i have this problem my father my daughter and son and granddaughter also,"my father, my daughter, my son and my granddaughter also have this","my father, my daughter, my son and my granddaughter also have this","my father, daughter, son and granddaughter also have hypomaturation",nan,"my father, my daughter, my son and my granddaughter also have this"
894,my cousin name biopsy report suggested that he is suffering from renal am,"this is my cousin's name, place of residence, name,",my cousin is called the biopsy report suggested that he is suffering from,biopsy report suggests he is suffering from renal amyloidos,biopsy report indicates that he has renal amyloidosis,the biopsy report suggested that he is suffering from renal amyloid
895,i started having leg swelling about 6 months agoits lymphedem,"my leg swelled about 6 months ago, it is",hi i started to have swelling in my leg about 6 months ago,i started having swelling in my legs about 6 months ago it is,"if there is a treatment available, please at least reply to","I started having swelling in my legs about 6 months ago, it is"
896,i have a list of questions about tay ,I have a list of questions about Tay Sachs Disease and,i have a list of questions about Tay Sachs disease,i have a list of questions about tay ,"if you can answer these questions, please reply as soon as possible","if you can answer these questions, please contact us as soon as"
897,what causes menses over a month and how bad it is in,nan,nan,nan,nan,nan
898,stiff neck i have a stiff neck that will not go away,"stiff neck, I have a stiff neck that won't go",nan,nan,Stiff Neck I have a stiff neck and it won’t,nan
899,i belong to a group of over 500 bms,you have identified the mechanism that causes Burning Mouth syndrome .,i have had this for 15 years and i am just waiting,you have identified the mechanism that causes burning mouth syndrome . you may,over 500 bmsers suffer from burning mouth syndrome for 15,a treatment may be found because of these findings . a
900,hijust wanna ask 1how the aspirin can affect the,nan,nan,nan,nan,nan
901,ms smell disorder anosmia patient sufferer,if you already have medication to cure and restore my sense of smell,if you already have medications to cure and restore my sense of smell,if you already have any medications to cure and restore my sense of,if you already have a medicine that can heal and restore my,if you already have medical medications to cure and restore my sense of
902,hi i am a tall girl58 who wants to undergo leg,"tall girl, 58, wants to undergo a 2 inch leg",58 year old girl wants to undergo a 2 inch leg short,58 year old girl wants to have a 2 inch leg short,"tall girl, 58, wants leg shortening surgery for cosmetic",58 year old girl wants to undergo leg shortening surgery 
903,hep c patient needs treatment but cannot afford tx,there are no numbers or ways to contact a recruitment study .,nan,nan,a patient with Hepatitis C needs treatment but cannot afford,nan
904,dear sirmadam my brother name is diagnosed itp his doctor,nan,nan,nan,nan,nan
905,i am not diagnosed with abetalipoproteinemia,i am undiagnosed but have had many tests that indicate,if there is any support for those who suffer from abet,"i have not been diagnosed, but have had many tests that indicate",i have not been diagnosed but have done a lot of tests,"i am not diagnosed, but I have had many tests that indicate"
906,hi im a student that suffers from pectus exc,a student is suffering from Pectus Excavatum,nan,a student is suffering from pectus excavatum,nan,i am a student suffering from pectus excava
907,floraq amazon advertises risaquad,"my doctor ordered FloraQ, amazon advertises Risaqua",my doctor told me that Floraq Amazon advertises Risa,"my doctor told me that Floraq, Amazon advertises Ris",floraq amazon advertises risaquad,my doctor told me that FloraQ on amazon advertises Ris
908,i am doing a research report on sudden cardiac arrest in ,my name is name and I'm a high school freshman at,i am writing a research paper on sudden cardiac arrest in ,nan,my name is name and I am a freshman in high school at,my name is name and I am a freshman in high school at
909,bilirubin total is higher than normal in hospital bil,"bilirubin decreased by 28, 26, 24, 26, 25 .","bilirubin has decreased by 28, 26, 24, 26 and 25",direct bilirubin is 08. The doctor says it is,"my total bilirubin was higher than normal, it was","bilirubin decreased from 28, 26, 24, 26 and 25 respectively"
910,need all up date on lupus an send by mail informations,nan,nan,nan,nan,nan
911,phobia fear of taxidermy hello i often find myself having,nan,nan,nan,nan,nan
912,spina bifida vertbral fusion,nan,nan,nan,nan,nan
913,bcmo1 rs 4889294 ,bcmo1 rs 4889294 ,i cant find any information about the gene and the variation ,the gene hello can you advise me where to find information about the gene,bcmo1 rs 4889294 ,bcmo1 rs 4889294 
914,my grandson 4 yrs old has contracted rubella ,"my grandson, 4 years old, has contracted rubella .","my nephew got rubella, i know for a fact ","my grandson got rubella, i know for sure he","my grandson is 4 and has rubella, I am sure ","my grandson got rubella, he got one of the vaccine"
915,i was born with diabetes insipidus and have many,nan,nan,nan,nan,nan
916,apraxia is a motor coordination disability acquired due to damage,apraxia is a motor coordination disorder that results from ,"apraxia is acquired motor coordination disability due to damage, head",nan,apraxia is a motor coordination disorder acquired due to brain,"apraxia is acquired motor coordination disability due to head injury,"
917,where could i find more information about the rare disease ocho,nan,nan,nan,nan,nan
918,the best thing to do for my dad who we r sure has,nan,nan,nan,nan,nan
919,pupil dilation or eye fundus can be performed for example .,Pupil dilation How often can pupil dilation or a,pupil dilation how often can a pupil or fundus dilation,pupil dilation how often can a dilation or fundus exam,"if I did it last week and then again this week, would",pupil dilation or fundus examination can be performed for example .
920,should advair and spiriva be used together,Advair and Spiriva are to be used together .,Advair and Spiriva are both controller drugs . ,if advair and spiriva are to,Advair and Spiriva are both controlled medications .,should Advair and Spiriva be used together? I understand
921,i have a 10 year old boy with that syndrome .,my son was diagnosed with this syndrome at 7 years old . ,my son was diagnosed with this syndrome he was told he would,my son was diagnosed with this syndrome at the age of 7 .,my son was diagnosed with this syndrome when he was 7 .,a 10-year-old boy has this syndrome . he
922,sir my wife has been suffering from falaria disease in her right,nan,nan,nan,nan,nan
923,what is the clinical name for people who have chemical reactions to medications is,what is the clinical name for people who have chemical reactions to medications?,what is the clinical name for people who have chemical reactions to drugs?,what is the clinical name for people who have chemical reactions to drugs?,what is the clinical name for someone who has a chemical reaction to,what is the clinical name for people who have chemical reactions to medications?
924,how much level of feritin is responsible for sle,ferritin is responsible for SLE adult stills disease .,nan,ferritin is responsible for SLE adult disease . how do,nan,nan
925,how can i determine whether or not ive had chicken pox,"if there is a test for chickenpox, what","if there is a test for chickenpox, what",how do i determine if i have had chickenpo,if there is a test what test results do I need to,"if there is a test for chickenpox, what"
926,achondroplasia research hello we are students from location and,"achondroplasia research Hi, we are local students doing",achondroplasia research hello we are students in this area,achondroplasia research hello we are rental students and we,"achondroplasia research Hello, we are local students and",achondroplasia research hello we are local students and we
927,mensuration cycle is not uniform there are many days gap in ,nan,nan,nan,nan,nan
928,i want more information on hypertension and fibromyalg,I want more information about high blood pressure and fibromyalg,I would like more information about hypertension and fibromyalg,nan,I would like to learn more about hypertension and fibromyal,I want more information on hypertension and fibromyalgi
929,son has been diagnosed with long arm chromasome 7 and,son diagnosed with long-arm chromasome 7 and Down,nan,son was diagnosed with long arm chromosome 7 inversion and,son has been diagnosed with long arm chromosome 7 inversion,son has been diagnosed with long arm inversion of chromosome
930,hi i want to know about lupus and its treatment,lupus and its best treatment . namePAD,lupus' best name is PAD>,lupus is the best name in the world .,lupus is the best name for its treatment . ,"Hello, I want to know about lupus and its best"
931,i get report for my father from hospital it is saying that ,nan,nan,nan,nan,nan
932,diagnosis of oi resources i was writing to inquire about more,I wrote to ask for more information on diagnosing OI .,diagnosis resources oi I was writing to ask for more information on,family members are awaiting genetic test results but are facing allegations of child,nan,OI Diagnosis Resources I was writing to request more information
933,hi i had shingles a while ago on my left forehead,shingles on my left forehead and above my eye started again .,hi i had shingles a while ago on my left forehead,shingles a while ago on my left forehead and above my eye,shingles on my left forehead and above my eye recurred,shingles on my left forehead and above my eye hurt a lot
934,two friends of ours have an 8-year-old child with,two of our friends have an 8-year-old child with opposition,nan,two of our friends have an 8 year old with Oppositional ,nan,two friends of ours have an 8 year old boy with oppositional
935,i have faith that there is a cure for milk products allergy,my wife has allergy to dairy products and every time she drinks or ,my wife is allergic to dairy products and every time she drinks or ,my wife is allergic to dairy products and every time she drinks or ,my wife is allergic to dairy products and goes to the hospital whenever she,my wife has an allergy to dairy products and every time she drinks or
936,plantar fasiciitis could be aggravated,nan,nan,nan,nan,nan
937,i had two injections in my feet yesterday 52214 .,i had two injections in my feet yesterday 52214 .,yesterday i had two shots in my feet 52214 the doctor said,two injections in my feet yesterday 52214 the doctor told me to,two injections 52214 in my foot yesterday and the doctor said to,two injections in my feet could cause my blood counts to go up
938,vitamins can i take zinc and zinc citrate at the same time,nan,nan,nan,nan,nan
939,does either of these help with skin keloids what would help ,"does one of these help with keloids of the skin, what",one of these helps with skin keloids what would help kel,do any of these products help with skin keloids? what might,nan,do any of these help with skin keloids? What would help
940,project hi my name is name and im doing a school project about,nan,nan,nan,nan,nan
941,in 20062007 i went through the hep c treatment,my viral load was undetectable immediately after treatment . I continued,"in 2006-2007, my viral load was immediately undetectable to",in 20062007 at vamc my viral load was undetectable,nan,in 2006-2007 i went through hepatitis 
942,i work at the airport and i am in contact with hundreds,when will it be safe for me to go back to work?,work at the airport and come into contact with hundreds of people a,work at the airport and come into contact with hundreds of people a,work at an airport and come into contact with hundreds of people every day,work at the airport and come into contact with hundreds of people a
943,37-year-old suffers from poor hungerloss of appetite,nan,nan,nan,nan,nan
944,my question is the following is there any negative interaction between gink,nan,nan,nan,nan,nan
945,i want to know about russel silver syndrome if i,nan,nan,nan,nan,nan
946,cross eye need to fix my cross eyed .,nan,nan,nan,nan,nan
947,hi my name is name im currently working with location and i was,nan,nan,nan,nan,nan
948,i have had renal organ transplant surgery a year ago .,nan,nan,nan,nan,nan
949,if oleandor was ingested by touching,nan,nan,nan,nan,nan
950,clinicaltrialsgov question general information my granddaughter was born with ,clinicaltrialsgov Question General Information My granddaughter was born with Kli,my niece was born with Klippeltranaunay syndrome,my granddaughter was born with Klippel-Tranauna,nan,nan
951,acute arthritic spinal stenosis what treatment is,I have acute arthritic spinal stenosis ,acute arthritic spinal stenosis is a,nan,"I have acute arthritis spinal stenosis, what treatment is",I have acute arthritic spinal stenosis 
952,i am looking for the latest evidence based practice on guidelines for,i am looking for the latest evidence-based guidelines for the assessment,i am looking for the latest evidence-based guidelines for the assessment,i am looking for the latest evidence-based practices regarding guidelines for,i am looking for the latest evidence-based practice guidelines on the,i am looking for the latest evidence-based practices on guidelines for
953,can you direct me to a hospital or other genetic research institution that,myostatin-related muscle hypertrophy is a genetic,myostatin related muscle hypertrophy is a genetic condition,can you direct me to a hospital or other genetic research institute that,myostatin related muscle hypertrophy genetic disease is a,can you please direct me to a hospital or other genetic research institution
954,my wife has suffered this how can treat this . how can this,"my wife suffered from it, how can it be treatedPAD",my wife suffered from this how can this be curedPAD,"my wife suffered from this, how can i treat thisPA",nan,my wife has suffered from this how can I treat this?PA
955,i have an hernia i would love to take,nan,nan,nan,nan,nan
956,medacationthes are the medsmontel,nan,nan,nan,nan,nan
957,sir i would like to bring your kind attention to a,"my mother is suffering from LGMD, so I would like to request",my mother suffers from LGMD . my email address is contact,my mother suffers from LGMD . my email address is contact,nan,nan
958,can a long term untreated bladder infection aid in the cause of,nan,nan,nan,nan,nan
959,cant use site i want to find a doctor who ,burn mouth syndrome can be the case in many specialties .,"can't use the site, I would like to find a",burn mouth syndrome could be in many specialties . can't,"can't use the website, I want to find a doctor",a doctor specializes in burning mouth syndrome and may have specialties
960,i hope you contact us as soon as possible greetings name ,"a year and a half ago, I was diagnosed with the",nan,nan,stxbp1 was diagnosed with the gene mutation ,stxbp1 was diagnosed with the generic mutation 
961,send me information about heart failer .,send me information about heart failure . send me a message about,nan,send me information about heart failure . send me a link to,send me information about heart failure . send me a message about,send me information about heart failure . send me a message about
962,kartageners syndrome i am suffering from this syndrome and wanted,I suffer from Kartagener Syndrome and wanted information from you or the,I suffer from Kartageners syndrome and wanted information from you or the,nan,I have kartageners syndrome and would like to know from you,I have Kartageners syndrome and would like some information from you or
963,pierre robins syndrome good morning just a query for you,nan,nan,nan,nan,nan
