,Unnamed: 0,gold_questions,fqd_german,fqd_italian,fqd_chineese,fqd_spanish,fqd_french,prqd_german,prqd_italian,prqd_chineese,prqd_french,prqd_spanish,qsv_german,qsv_italian,qsv_chineese,qsv_french,qsv_spanish
823,823,"What medications can I take for coronary artery blockage?

Example: Coron",Q: Which medicines can treat coronary artery blockage?,Request for drugs to treat coronary artery blockage.,"Seeking medicines for coronary artery blockage, grateful for advice.",Name informs of medication for coronary artery blockage.,What medicines can be used to treat coronary artery blockage?,Advice sought for coronary artery treatment.,What drugs can treat coronary artery blockage?,I am from Name and I want to know medicine for coronary artery blockage.,"Need medicines for coronary artery blockage. Please suggest.

Explanation: The","Provide an alternative question of similar meaning, rephrased for brevity.",Seeking medications for coronary artery blockage treatment. Please advise.,Name wants to know about treating CAD with drugs.,Seeking medications for coronary blockage from Name Place Date. Thank you.,Can you suggest effective medicines for treating coronary artery blockage? Thank you.,There is no summary given for this question. Please provide a summary for the question
824,824,"Recovering from shingles, 2nd week, antiviral medication, no",Can I visit my husband in the hospital tomorrow after his surgery?,Can I go to hospital with husband tomorrow during surgery?,Can I go to hospital with husband for surgery while recovering from shingles?,Can I go to hospital with husband after shingles surgery?,"I am taking antivirals for shingles, no drainage, 2nd",Can I go to hospital with husband during his surgery tomorrow?,"Recovering from shingles, on antivirals, 2nd week,","Recovering from shingles, antivirals, no discharge, hospital with husband",Can I go to the hospital with my husband during surgery tomorrow while recovering from shingles,Can I go to the hospital with my husband?,Can I go to the hospital with my husband while he's getting surgery tomorrow,"Recovering from shingles, antiviral medication, second week, no drainage,",Can I go to hospital with husband during surgery tomorrow if I have shingles?,"Recovering from shingle, taking antiviral meds, 2nd week",Can I go to hospital with husband?
825,825,Does C. freundii respond well to Ciprofloxacin? Are,Does Citrobacter freundii respond well to Ciprofaxine? What,Is C. freundii effective against Ciprofloxacin & are there,It is difficult to summarize the given statement as it is empty. Please provide a,Does ciprofaxine work well against Citrobactor freundii? Is,Does C. freundii respond well to Ciprofloxacin? Are,,,,,,,,,,
826,826,"2yrs trying, can't get pregnant, husband sperm count nil,","Unsuccessful pregnancy for 2 years, husband's sperm count zero. Is","Doctor, Klinefelter Syndrome, cure?","Doctor, help! Sperm count zero, Klinefelter syndrome, can",Need help with fertility issues due to husband's Klinefelter Syndrome.,Can I get pregnant with Klinefelter syndrome? Any treatment?,Can I become pregnant with Klinefelter syndrome treatment?,Pregnancy possibility for Klinefelter syndrome case? Cure available?,"I can't get pregnant, zero sperm count, Klinefelter syndrome",Unsuccessful pregnancy after 2 years + husband's low sperm count + K,"Doctor, not getting pregnant, husband sperm count zero, Klinefelter syndrome",Is my husband's ZERO sperm count from Klinefelter a chance,"Klinefelter syndrome, can I get pregnant?","I have Klinefelter syndrome, have no sperm count and wish to know",Can I get pregnant with my husband's zero sperm count? Is there a,"Doctor, cannot get pregnant, zero sperm count husband, Klinefelter syndrome"
827,827,How to tackle erection problems and prevent premature ejaculation?,,,,,,,,,,,,,,,
828,828,"Infectious illness, marriage question",,,,,,,,,,,,,,,
829,829,What are the biological causes of decubitus ulcers? Can medical professionals participate,,,,,,,,,,,,,,,
830,830,Suggest hypotension books for purchase.,Recommend books on hypotension and low blood pressure.,Suggest books on hypotension/low blood pressure?,More concise way to rephrase the original question: No input found.,Suggest hypo/low blood pressure books to buy.,Suggest books on low blood pressure.,Books about hypotension/low blood pressure recommended?,Books on hypotension and low blood pressure recommendations?,Can you suggest books on low blood pressure?,"Books on blood pressure, recommendation for purchase.",Suggest positive books on hypotension for purchase.,"""Books on hypotension/low blood pressure recommendations?""",Books on hypotension and low blood pressure recommendations.,Books on low blood pressure? Recommend.,"Suggest books on low blood pressure for purchase?

Step-by-step",Books on hypotension/low blood pressure recommendations?
831,831,What are the causes of pulmonary artery sling? Is it genetic or another factor?,,,,,,What causes pulmonary artery sling? Genetic? Grandson surgery Tuesday.,There is no need to summarize this question as it is already very concise and short,Pulmonary artery sling cause - genetic or other? Surgery 10-,What causes Pulmonary Artery Sling? Genetic or something else? Surgery,None,What are causes of pulmonary artery sling? Genetic? Grandson 10 mos,The meaning cannot be shortened without losing crucial information or changing the context.,Pulmonary artery sling cause - genetic or another factor? 10-,Pulmonary artery sling cause - genetic or other? Surgery Tuesday Little Rock Hospital,What causes pulmonary artery sling?
832,832,What will happen to woman with growing fatty cyst if she doesn't have surgery,,,,,,,,,,,,,,,
833,833,Can CDH be inherited? Inform pediatrician if fraternal twins.,Can CDH be inherited or passed on to future generations?,Can CDH be inherited?,"Since there's no input given, it's difficult to provide a concise",Can CDH be passed on?,Could hereditary CDH be passed on to descendants?,Can CDH be passed on to future generations?,Can CDH be passed to future generations? Concerned about informing doctor.,There is no need to rewrite the provided question as it is already very short and,Can CDH be passed on to future generations?,Concern about CDH mutation being passed on to future generations?,Can CDH be passed on to future generations?,Can CDH be passed on to future generations? Inform future paediatricians,No summary for this question.,Can CDH be inherited or passed on?,Can CDH be inherited?
834,834,How long is half-life of chlordizepoxide & when is most,,,,,,,,,,,,,,,
835,835,"Seeking treatment for Baker disease, related to neurology, by medical research in New",Seeking treatment for Baker-related disease in NY on May 11th.,Ask for a short and concise rewrite of the provided prompt.,"No summary needed, as the question is already very concise and contains no unnecessary words","Seeking treatment for Baker's disease related to neurology, available on May",New York resident seeks trial treatment for neurology disorder. May 11 visit,"I am seeking treatment for an uncommon neurological disorder with limited options, available in New",Need cure for Baker disease related to neurology. Looking for studies in New York,There is no summary for this question as it is already concise and clear.,Seeking treatment for a new disease and available on May 11th in NYC,Seeking treatment for Baker's disease in neurology department; availability for medical research,Seeking treatment for Baker disease through clinical trials in New York.,"Seeking cure for disease Baker related to neurology, request for medical researches in NYC","There is no data to summarize, the request is too simple or too complex.","Seeking effective treatment for a neurological disease, Baker, no prior treatment, medical research",Treat Baker's disease related to neurology department in New York on May
836,836,Is anyone working on a cure for autoimmune blood disorder APS?,,,,,,,,,,,,,,,
837,837,How can I remove these annoying bugs that keep coming back after trying everything and ruining,How to get rid of bug problem using clothes washing?,How to eliminate persistent bugs from clothes?,How get rid of bug problem?,How to remove stubborn bug infestation from clothing?,How to effectively rid ourselves of these pesky bugs by washing clothes?,How can I get rid of stubborn bugs in clothes and personal items?,How to eliminate persistent insects from clothes and showers without success?,How can I get rid of these persistent bugs using clothes washing?,"None, as there's no space to write the original request for changing due",How to get rid of stubborn insects on clothes?,What's the best way to get rid of these persistent bugs by cleaning clothes,How can I get rid of these persistent bugs in our clothes?,What is the best way to eliminate clothes bugs?,"""What strategies can be used to improve customer experiences across multiple channels such as social",How can I eliminate these pesky bugs through washing clothes?
838,838,"Can a person unknowingly swallow a foreign object, like a needle, and","Can people swallow sharp objects and not know it?

Explanation: I changed",Can an asymptomatic internal perforation occur in the digestive tract? How can a,Do asymptomatic perforations happen? How do patients find out? Can they be,Could suffer asymptomatic perforation? Detect if present? Stories of swallowing needles.,Can internal internal perforation cause vague complaints or degenerative conditions? Can it be,"Concise question: ""Can asymptomatic internal perforation occur in digestive system,",Can asymptomatic internal perforation occur? How can it be detected?,"Does an asymptomatic perforation in the digestive tract occur? If so, how","Can asymptomatic DTR perforations occur, and how can they be detected?","Can asymptomatic intestinal perforation by foreign objects cause diseases, how can patients detect","Fear of asymptomatic internal perforation, swallowing needles without realizing. Can this happen","Is it possible to develop asymptomatic internal perforations? What causes them, and","Do asymptomatic perforation, vague discomfort & degenerative diseases happen? How is",Am I at risk for internal perforation by swallowing a needle,Can asymptomatic intestinal perforation occur? How can it be detected? Can foreign
839,839,How to dispose of 4 expired 04/2010 H,"How dispose of 4 042010, expired HPer",Provide a concise summary of the question.,How to dispose safely of expired 04/2010 Hydrogen,"4 boxes of expired hydrogen peroxide, disposal method needed, location and contact",,,,,,,,,,,
840,840,How to alleviate dry mouth discomfort?,,,,,,,,,,,,,,,
841,841,What's a medicine for purpura disease and a good doctor for my,Can you suggest a good medication or doctor for purpura?,Need guidance on treating purpura since 2003; recommend effective,"Need help for brother's purpura and treatment recommendations, any good doctors",Need medicine and doctor referral for my brother's purpura since 2,What medicine can you recommend for my brother with purpura since 20,Need help finding right treatment / doctor for brother's purpura.,What is the best medicine for purpura and where can we find a good,"Brother suffered from purpura since 2003, seeking medication and",Need advice on managing purpura for brother since 2003 and,"What should we do to help my brother with purpura?

Explanation",Can you please suggest suitable medication and recommend a good doctor for my brother's,My brother has purpura since 2003 - medicine suggestion and,"Help with my brother's purpura 2003, doctor",What's the best medication and doctor for my brother with purpura since,Seeking advice on treating purpura since 2003 and good doctor
842,842,"Doctor diagnosed with albinism; levels of pigmentation, birthmark-like",Can you help me with albinism and birthmark?,"Brunette with albinism, varying pigmentation levels.","Born with albinism - noticeable markings, three levels of pigmentation, large","Born with albinism, varying levels of pigmentation on body; needs help",,What is albinism and how does it affect you?,"Born with albinism, varying levels of pigmentation, visible marks on skin",Can you help with albinism?,none,What is albinism and how does it affect me?,"Born with albinism, brown hair, hazel eyes, fair skin & visible","What can you do to help me with my albinism, dark hair,","Help! Born with albinism - visible markings, 3 levels of whiteness",No summary paragraph required as the question has already been rewritten to a concise form.,Seeking help for albinism.
843,843,Need treatment for balance disorder affecting father's walking and climbing.,We need treatment for balance disorder to help my father regain his balance. Please assist,"Helping needed for balance disorder treatment, Dad struggles with walking/climbing.",Ask for assistance curing balance disorder impacting father's walking/stair climbing.,Help curing balance disorder in dad.,Treatment needed for balance disorder in dad.,Treatment needed for balance disorder in elderly man.,Need treatment for balance disorder in elderly father. My father loses balance while walking or,"How to help cure balance disorder in my dad?

A few more sentences",Help cure balance disorder preventing falls in elderly.,Cure balance disorder for walking and stair-climbing balance loss.,Need help treating balance disorder for dad who loses balance.,Balance disorder treatment for dad who loses balance while walking or climbing stairs.,"How can we treat balance disorder, as my father loses balance walking or climbing stairs",What can we do to help my father recover from a balance disorder?,Need treatment for balance disorder in dad. Please help cure it.
844,844,Is there a curable option for a shaking-eyes disorder in the family?,,,,,,,,,,,,,,,
845,845,Seeking help for brother with MS.,Looking for help for brother with MS.,,There is no need to rewrite the question as it is already very short and concise,Are there any treatments for MS?,Help for brother with MS?,Can you help me find something to aid my brother with MS?,"The weather forecast was for rain in the next few days.

Now,","No summary needed for this question, as it is already very concise.",None provided.,Is there a treatment or help for brother with MS?,Are there any treatments for MS that can slow down disease progression?,No summary needed.,None needed as the original question is already concise.,Multiple sclerosis help?,Is there anything to help brother with MS slow down?
846,846,Are there any eye medicines to stop excessive tears?,Excessive tearing/block nose remedy?,"No summary needed, as the provided question does not require any rephrasing or",Write a shorter version of the question.,"Excessive tears, can reduce any medicine?","Excessive tearing at night, searching for medication to reduce it.","Excessive eye tearing, nasal issues - any effective medicine?",No summary is needed for this question as it is already very concise.,No summary text provided.,Excessive tearing medication?,Medicine for excessive eye tears?,Excessive tears and nose problem; medicine to reduce?,There is no need to summarize the given question as it is already concise and,Is there a medicine for excessive tearing at night?,excessive tearing at night,"Excessive tearing in eyes at night, is there any medicine?"
847,847,I'm seeking research about IBS and its connection to PTSD.,,,,,,I want research evidence on IBS and PTSD correlation.,N/A,"Nan, keep this question concise:
Some changes may be needed in a",Provide a concise summary of the given question in 5 to 10 words,"Provide an answer or statement summarizing the given topic or question.
Reduce:",,,,,
848,848,"Need treatments info for claw hand, please mail to address.
Step-by",Seeking email on claw hand treatment options.,"I have a claw hand, please send me info on treatments.
Location provided","I have a claw hand, treat at location, email me with address.",I have a claw hand. What can I do about it?,How could you rephrase the following question in a concise way that still maintains the same,"""Email treatment info for clawed hand.""",Treatments for claw hand problem?,I have a claw hand; treatment & address please. Email me.,"There is no summary as the task asks for rewording the question, but",What is the address of someone seeking information on treatments for a claw hand injury?,Can you send me info about claw hand treatment options?,Help me know about claw hand treatments!,"I have a claw hand, please email me the treatment & send to my address",Replace text with a one-sentence summary.,"I have claw hands, seeking treatment info. My address is location, thanks."
849,849,Distal RTA. Can send information? Recom. Assoc. Mexico,What can you suggest for my daughter's health condition in Mexico or recommend a,Looking for info/association for DTA in Mexico?,Distal RTA info & association referral needed (short & concise),"Mexican family seeking information on a rare kidney disorder, advice on associations.","Need info on childhood kidney disorder, recommendation for association, from Mexico.",What can you suggest for my daughter's rare disease in Mexico?,"Need info on distal renal tubular acidosis in Mexico, recommend association.",Can you provide more info on DRA and suggest an association?,Can you send info or suggest assoc for my daughter's renal acidosis,"Distal renal tubular acidosis, Mexico, info, association recommendation.","Need info about distal renal tubular acidosis club recommendation.

Justification:","Mexican family seeks info on distal RTC disorder, recommends association.",There is no summary available for this question. Please provide a question for which a,Seeking help for D.R.T.A.; don't know what,Distal renal tubular acidosis info and association recommendation for Mexico.
850,850,Knee replacement advice needed?,,,,,,"20 years ago, cruciate ligament tear & meniscus removal","Can you cure or transform knee OA, need a prosthesis recommendation?",Can you treat knee prosthesis in US?,Can you treat me for knee arthritis and recommend doctors/hospitals in the,"Need knee prosthesis, can you treat or refer?","Knee pain 20 yrs ago, severe arthritis, severe pain, tra","Ruptured ACL and meniscus 20 years ago, knee arthritis,",Can you treat or recommend doctor/hospital for knee prosthetic treatment?,Can you help with knee replacement or treatment in USA?,Can you refer me for knee prosthesis due to severe arthritis and pain?
851,851,"Interested in IVF, seeking info on risks & costs.",Interested in IVF? Understand risks and costs.,Can I have a baby with IVF? What are risks and costs?,There is no need to summarize the given question as it is already concise and,Risks and cost of IVF.,There is no need to rewrite the given question as it is already extremely concise,"In vitro fertilization info needed, risks/costs.","Interested in IVF for baby, seeking details about risks/costs.",None found.,There is no summary for this question.,"Interested in IVF, risks and cost?","Interested in IVF, seeking risks & costs.",What are risks and costs of having baby through in vitro fertilization?,There is no need to rewrite the given statement as it is already extremely concise and,Provide a concise summary of the original question.,Want to know about risks and cost of IVF to have a test tube baby
852,852,"What is homeostasis, importance, curing hypothermia tech, effectiveness,","What is homeostasis, why important, treatment technology, effectiveness, impact on","Why is homeostasis, treating hypothermia technology, and its effectiveness for","Homeostasis, treatment of hypothermia, technology, effectiveness, economic and","Homeostasis, technology, hypothermia, economy, environment.","What, importance, homeostasis, technology, treat hypothermia, effectiveness","What is homeostasis? Importance, technology, effectiveness, economy and environment","Provide a concise rewording of the given question, if applicable.","Homeostasis, technology for hypothermia treatment, and its impacts on the","Why is maintaining balance important, and what methods do doctors use to treat hypother","Homeostasis, technology, hypothermia, economy, environment.","Homeostasis, hypothermia, technology for treatment, economy and environment.",There is no need to rewrite the given query as it is already very concise with,"What is homeostasis, effectiveness of treating hypothermia tech, econ &","Why is homeostasis crucial? What tech treats hypothermia, and how","Why is homeostasis crucial?, Cure for hypothermia?
Technology?"
853,853,What are the types of sickle cell and the possibility of a baby born with,,,,,,,,,,,,,,,
854,854,"Colon cancer cure on TV, help!",Cure for colon cancer on TV?,Colon cancer TV ad cure mentioned; seeking information.,"Colon cancer ad on TV - cure for father's cancer seen, doesn'",There is no summary for this task as it requires rewriting the given question into a,Colon cancer ad on TV? Details?,,,,,,,,,,
855,855,What will happen if stop 5mg oxycodone every 4 hours?,What about oxycodone weaning?,"What happens if doctors stop oxycodone, how to taper off gradually?","What if doctor stops oxycodone, how to wean off?","If stopped, face consequences; wean off to avoid withdrawal.",What will happen if doctors stop oxycodone 5mg every 4 hours,How to slowly reduce oxycodone dosage after weeks of use?,Should I continue taking oxycodone or wean off gradually? How will this,"Concise question about replacing 5mg oxycodone with reduced dose, after",Will stop oxycodone 5mg; how to ask for slow taper?,"What if doctors stop oxycodone 5mg, been on it three weeks","What if doctors stop oxycodone, 15-day dosage?",What if I stop oxycodone every 4 hours and how can I taper,"What if doctor stops 5mg oxycodone, I've taken for",Can I ask my doctors to wean off oxycodone 5mg slowly,What will happen if stopped and how to wean off oxycodone?
856,856,"Colombia family searching for Htlv1 treatment, willing to undergo trials with adult","""Looking for info on htlv1 for Colombian sister.""","No input needed, as the task requires no alteration.",The question cannot be shortened as it is already very concise.,No summary is necessary as the question is already concise and straightforward.,Seeking information/treatment for HTLV-1 sister in Colombia.,Looking for information on htlv1 from Colombia.,Looking for info/elucidation - Help treating rare htlv1 in,"None, as there is no text to rewrite.",Colombia seeking rare virus info/treatment.,There is no suitable summary for the given question. Please provide a summary for the,Looking for info on htlv1 in Colombia for my sister.,where can htlv1 be treated in Colombia?,Can you provide a revised question in fewer words?,Seeking information/treatment for rare Colombia virus.,Can you help find a place for sister with rare Colombia virus?
857,857,"Scleroderma, systemic sclerosis, onset at 18, biopsy",,,,,,"Scleroderma diagnosis & treatments since age 18, progressive disease.",Scleroderma diagnosis symptoms & treatments.,22-year-old diagnosed with scleroderma; on medications,"I am on treatment for scleroderma, diagnosed at 18,",Provide an alternative version of the question in fewer words.,What about PSS and medications regimen for scleroderma/systemic s,"What treatments did you start when you were diagnosed at 18, and what","Scleroderma, systemic sclerosis, dexa, medications, finger ul",I have systemic sclerosis since 2010 and am on treatment with,There is no summary available for this question. Please provide a question for which a
858,858,"Doctor advice, home oxygen, suggest medicine, improve day-to-day activities",,,,,,,,,,,,,,,
859,859,What should I do about my terrible breath that upsets me and others?,What can I do to stop my bad breath?,How can I improve my breath?,I need advice on bad breath solutions.,"Improving breath and avoiding illnesses caused by bad breath.

My attempt:","I need help with bad breath and sickness. 
Explanation: This summarization",I need help with bad breath making me and others sick.,No summary is needed for this question.,How can I treat bad breath uncomfortable for both me and others?,How to stop bad breath?,How can I fix my bad breath that makes others ill?,I need advice on treating bad breath.,"""What is the name of the five-headed dog that guards the entrance to","Bad breath discomfort, advice sought.",How to improve bad breath?,What can I do to fix my bad breath and not make me and others sick
860,860,"What is bundle blockage, symptoms, treatment?",,,,,,,,,,,,,,,
861,861,"Working at airport with shingles after 11 days, concerned about exposing others.","Working at airport, shingles, fever and blisters, need assurance of not exposing",Should call get a message addressed to working at airport?,Can I return to airport job after shingles in 3 days?,Can I work at the airport with shingles? Will recover in 11 days,Can I return to work at the airport with shingles after 3 days and how,How long until back at work?,"Need approval to work at the airport with shingles, recovering after 11 days","Can I return to work after shingles, 11 days to recover? Fe",Can I return to working at the airport with shingles after being cleared by my doctor,"Concerned about illness spreading, asking for advice on going to work with shingles","Concerned about returning to work due to shingles, asks for response regarding precautions","Can I work at the airport with shingles and recovery time, doctor cleared me after",Can I go back to work with shingles at the airport and not expose others?,"Can return to work at airport with shingles, wants to avoid spreading disease.","Concerned working at airport with shingles. Doctor's Clearance, recovery"
862,862,Can I take Sam-E with blood pressure and cholesterol meds? Will it affect,"Can Sam E be taken with metoprolol, simvastatin, and",There is no need for a summary as the task requires rephrasing the,"""What action did Eve take in the Cairo apartment?""",Can I take SAMe with my blood pressure medication and simvastatin? Will,"Can I take metoprolol, simvastatin, and medicine for panic",Can I take Sam E with metoprolol and simvastatin? Will,Can I take ginseng with metoprolol and simvastatin?,Q: What is the age at which you are legally allowed to drive in,I want to know if it's okay to take the same medicine as met,Can I take SAMe with blood pressure medication and simvastatin? Will it,Can I take Sam e with metoprolol and simvastatin? Will,No summary needed.,Blood pressure medication and simvastatin interaction with Metoprolol.,Can I take simvastatin with metoprolol and would a blood test,Can I take SAMe with blood pressure meds and statins? BP med is
863,863,What causes hypertension and diabetes?,What causes high blood pressure and diabetes?,How can the given ellipsis be rewritten in a short and concise manner?,Why do Dino's aliens want to shun Donny's aliens,What are the main causes of high blood pressure and diabetes?,Causes of hypertension and diabetes in 5-10 words.,High blood pressure and diabetes causes.,Dense forest. Long journey. Fierce battle.,Define the most important question and rephrase it in a concise way.,"Causes of hypertension and diabetes - high blood pressure, unhealthy diet, genetics.",What causes HBP and diabetes?,What causes blood pressure and diabetes?,"There is no need to rewrite the question, as it is already extremely concise.",Choose and justify the shortest possible answer (5-10 words).,Causes of hypertension and diabetes.,High blood pressure and diabetes causes.
864,864,"Interested in reversal vaccine trials for Type 1 diabetes, as I have long-","Reversing type 1 diabetes vaccine, seeking info or studies. Involved",There is no need to summarize the given question as it is already very concise and,Type 1 Diabetic Wants to Participate in Reversal Vaccine Trial,I am a long-term T1D seeking info on T1D reversal,"Interested in vaccine trials for type 1 diabetes after 34yrs, seeking","34-year-old T1D interested in vaccine studies, active",Edit the original question and create a new one with a more concise and brief format,"Interested in vaccine trial for type 1 diabetes?

I am a type","Type 1 diabetic since 9 mos., 34, interested in reversal","""34-year-old T1D seeking info on reverse vaccine trials","Interested in reversing type 1 diabetes vaccine, living in area without nearby endocr",There is no summary for this question.,Type 1 diabetic seeking info on reversal trial or local endocrinologist',"Interested in vaccine trials for type 1 diabetes, long-term patient, active",Question cannot be condensed in a short and concise manner while preserving the meaning.
865,865,urgent advice for diabetes cure needed since 2008.,"Concise Summary: Advise for curing diabetes since 2008,",Contact urgently for diabetes advice from Nigeria.,Nigerian asks doctor about diabetes treatment.,"Contact me for valuable diabetes advice, Nigeria, 2008.",Urgent advice urgently for diabetes since 2008. Contact-,Urgent advice needed for diabetes cure since 2008.,Need urgent advice for diabetes cure from Nigeria.,Seeking advice to cure diabetes since 2008. Urgently awaiting,"Doctor, urgent advice for diabetes cure from Nigeria since 2008.",Urgent advice needed for diabetes treatment.,"Doctor, urgent advice needed for diabetes treatment. Please contact Nigeria.",Need advice urgently for diabetes cure since 2008.,"Urgent medical advice needed for diabetes since 2008, or",Urgent help needed for diabetes cure since 2008. Can,"Need advice for a cure for diabetes since 2008.
Explanation"
866,866,Need info on Lewy body dementia to raise awareness about other diseases.,Important info needed for public awareness on Lewy Body Dementia.,Any information on Lewy Body Dementia awareness.,Concern about awareness of Lewy Body Dementia.,"Need information on Lewy body dementia to raise awareness.
Explanation: The rewritten",Raise awareness on Lewy Body Dementia and reduce focus on Alzheimer's,Help in spreading awareness about Lewy Body Dementia.,Review the revised version of the question.,There is no summary for this question. Please provide a summary for a better performance,Concern about lack of awareness on Lewy Body Dementia compared to Alzheimer,"What can be done to raise awareness of Lewy body dementia, an underdiagn",Need info on Lewy Body Dementia. Raise awareness.,Create a concise reworded question in 5-10 words.,No summary needed for this question as it is already very concise.,"Raise awareness about Lewy body dementia. Focus on this disease, not just Alzheimer","Provide a rephrased version of the question in under 10 words, maintaining"
867,867,"Can you send exercises for stroke victim, unable to walk due to knee arthritis?",Need exercises for stroke patient. Unable to walk due to arthritis. Home address and,Can you help with exercises for a stroke patient? I can't walk.,"Need email exercises for stroke patients, unable to walk due to knee arthritis.","Need exercises for stroke victim, not able to walk due to arthritic knee","Do you have exercises for a stroke victim? Knee arthritis, flexible otherwise.",Can you send stroke exercises to my email or home address? Knee arthritis prevents,Can you provide stroke exercises for my home? I have arthritics and,Please send exercises for stroke patients & home address.,"For stroke patient exercises, email home address/email. Able to use only walking",Need exercises for stroke victim for home mail. Flexible due to arthritic knee,"Can send exercises for stroke patient (Home address, Email) Thank you.",Send stroke exercises to address for arthritis knee patient.,Can you send exercises for stroke patients?,There is no summary possible for the given question as it is too short and concise,"Exercises for stroke victim unable to walk, due to arthritic knee;"
868,868,Can 9-yr-old get chickenpox vaccine after 5 years without,,,,,,,,,,,,,,,
869,869,What about homozygous MTHFR A1298C health,What's your view on health issues and long-term outlook for homozy,What is your view on MTHFR A1298C health issues,There is no need to rewrite the question as it is already very concise and conveys,What is your stance on mthfr A1298C homozy,Position on health issues and prognosis of homozygous MTHFR A1,What is your view on health issues and lifespan due to homozygous M,What is your stance on the health issues and prognosis of homozygous M,None,What's your stance on health issues related to homozygous MTH,What is your view on the health problems and long-term outlook for people having,What's your view on health issues & prognosis for homozygous M,What is your view on health issues and prognosis of homozygous MTH,There is no need to rewrite the question as it is already extremely concise.,What is your viewpoint on health concerns & long-term prognosis for homozyg,What about health issues of mthfr a1298c homozy
870,870,"Sister's leg nerves are overlapping, how to treat?",How can I treat a problem with sister's legs and nerves interfering?,"Nerves issue in sister's leg, how to cure?","Leg nerve pain, how to treat?

Explanation: The question has been",There is no need to summarize this question.,"Sister's leg nerve problem, how to treat?",What can I do for a sister's nerve interference problem?,"My sister's leg nerves are crossed, how to cure?",What is the best way to treat a sibling's leg nerve issue?,A patient wants to know how to treat their sister's leg nerve problem.,No answer provided,"Sisters' nerves and legs interferes, how to treat?",What can I do to cure my sister's strained leg nerves?,How can I treat nerve pain in my sister's leg?,Provide concise summary of the original question not exceeding 10 words.,What's the quickest way to ask about treating conflict in nerves?
871,871,"3-week-old, growth-retarded baby with multiple physical abnormalities","Baby admitted for growth retardation, weighed 144 kg at birth,","Literature needed on 3 week old baby with abnormalities, no karyotype info",There is no summary for this question. Please provide a question with a concise summary,"3-week-old baby boy admitted for failure to thrive, born at",What's the condition of the 3-week-old baby with,"3-week baby - 144kg, polyhydramn",3-wk-old baby admitted for growth retardation; polyhydram,"3 week old baby with growth retardation, malformations, kary","3-week-old baby diagnosed w/failure to thrive, born w","144kg, 3 week old, failure to thrive, poly","3-week-old baby with growth retardation, polyhydramn",3-week-old baby admitted for growth retardation; symptoms: small,What is the 46xydup16q13q2,"3-week-old baby admitted for failure to thrive, born prematurely,",Newborn with 46xy/dup16q13q2
872,872,"Amazing website, highest quality and outstanding organization.",Is the website quality information about anhedonia?,Great website and organization.,What is an anhedonia and where can I find info? A top-,How do you describe the organization behind Anhedonia website? 73-,"Excellent info on anhedonia, superior quality, 20yr exp.","Excellent website information, high quality organization

Step 1: Identify the main","I needed info on anhedonia, found perfect site. Website quality is unprecedented",Can you tell me about anhedonia at location 73?,"Great website for anhedonia information, stinks of quality.",What's the quality of Anhedonia's website & organization?,Great website for information on anhedonia. Quality organization.,"Great website with excellent quality, concise way.",What is an anhedonia and where can I find info on it?,"Seeking information on anhedonia, impressed by quality of website; location 7","Excellent website about Anhedonia; quality organization, location 73."
873,873,Can you send me literature on osteoporosis diagnosis?,Osteoporosis literature request,None.,"Request for printed material on osteoporosis, postal address provided.",Provide a concise rephrase of the given question.,Can you send me materials on osteoporosis via mail? I'm newly,Literature request on osteoporosis. Treatment options available?,Is there a way to send me printed material on osteoporosis? I',Requesting printed material on osteoporosis to educate self about the condition.,"Can you send me osteoporosis printed materials via mail? Diagnosed recently,",No summary needed as the request is to rewrite a question within a specific word limit,Literature on osteoporosis? Diagnosed recently. Thank you. Name. Location,"Is there a way to get printed osteoporosis material?

Short and",Seeking information on osteoporosis; request for printed materials or literature.,"Can I get mailed osteoporosis materials after being diagnosed? Name, Location,","There is no need to rewrite the given sentence, as it is already a very"
874,874,Can you advise on cold turkey withdrawal from Wellbutrin XL?,,,,,,Is it safe to stop Wellbutrin XL suddenly? Advice needed.,Is it safe to go off Wellbutrin XL cold turkey?,The given task does not apply to any nan value or input.,Is it safe to stop Wellbutrin XL cold turkey?,Is it safe to stop Wellbutrin XL cold turkey?,,,,,
875,875,Can I safely take both LeVAquin and Prednisone separately on different days?,,,,,,,,,,,,,,,
876,876,"Current gp fighter, advocacy group admin, seeking information on gastroparesis feeding",Experienced gastroparesis warrior; seeking information on feeding tubes and TPN,There is no summary for this question. Please provide a question with a concise summary,Seeking info on feeding tubes & TPN for gastroparesis as volunteer advocate,"Gastroparesis support, advocacy, and information about feeding tubes and TPN",Seeking information on feeding tubes and TPN for gastroparesis advocacy as a,Gastroparesis feeding tubes and TPN information for advocate?,The task did not require any summary.,Can you share information on feeding tubes & TPN for gastroparesis?,"GJ feeding tube, GP support, advocacy group volunteer. Information on feeding tubes","GP fighter, admin of support and advocacy groups, volunteer advocate - info sought on","Gastroparesis warrior, TPN information sharing appreciated",N/A,Can you share info on feeding tubes & TPN for GP?,Protest aginst Gastr. willing to share all info reqd about pain relief,"Seeking information about feeding tubes and TPN for gastroparesis, as a"
